country,market_share,total_value,degree,betweenness,eigenvector,pagerank
Uganda,2.360898017951192e-07,314071.0,1,0.0,-0.030249172666019546,0.0024845664638928314
Ghana,2.35066726693492e-07,312710.0,1,0.0,0.06476060676650347,0.0024845664638928314
Kazakhstan,2.2796684106904753e-07,303265.0,1,0.0,-0.05350803767771235,0.0024845664638928314
Jamaica,2.1938157969088127e-07,291844.0,1,0.0,0.08522855999422888,0.0024845664638928314
Tajikistan,2.054283687897761e-07,273282.0,1,0.0,-0.08863266805641436,0.0024845664638928314
Guinea,1.8444593285170108e-07,245369.0,1,0.0,-0.017206043465208737,0.0024845664638928314
Bermuda,1.795237463965542e-07,238821.0,1,0.0,0.10390228488076966,0.0024845664638928314
Iraq,1.6772117316316056e-07,223120.0,1,0.0,0.05921567641952794,0.0024845664638928314
Samoa,1.6145342871248634e-07,214782.0,1,0.0,0.03222599990841092,0.0024845664638928314
British Virgin Islands,1.4995078712167116e-07,199480.0,1,0.0,-0.06243916366572315,0.0024845664638928314
Guyana,1.3668087913561311e-07,181827.0,1,0.0,0.04184881686414499,0.0024845664638928314
Guatemala,1.3558338490462433e-07,180367.0,1,0.0,-0.08027863594106376,0.0024845664638928314
Egypt,1.3173087947050278e-07,175242.0,1,0.0,0.03938737684573409,0.0024845664638928314
Cook Islands,1.3166247400816035e-07,175151.0,1,0.0,-0.08890052022753607,0.0024845664638928314
Yemen,1.2968247414211623e-07,172517.0,1,0.0,-0.043545939886788336,0.0024845664638928314
Somalia,1.2693723514788952e-07,168865.0,1,0.0,0.05333649860691165,0.0024845664638928314
Mayotte,1.268507886844897e-07,168750.0,1,0.0,-0.08830525140813353,0.0024845664638928314
Nauru,1.173612221283238e-07,156126.0,1,0.0,-0.10569301959360697,0.0024845664638928314
Paraguay,1.1373648433255129e-07,151304.0,1,0.0,0.009143358112746672,0.0024845664638928314
Suriname,1.1267507210367722e-07,149892.0,1,0.0,0.0194821472218517,0.0024845664638928314
Mozambique,1.0976746409993437e-07,146024.0,1,0.0,0.10668611897318464,0.0024845664638928314
Central African Republic,1.0851737306833552e-07,144361.0,1,0.0,-0.09585737531332117,0.0024845664638928314
Uruguay,1.078851863229509e-07,143520.0,1,0.0,0.0562023452239359,0.0024845664638928314
Faroe Islands,1.0468892230229046e-07,139268.0,1,0.0,0.0284343490506808,0.0024845664638928314
West Bank Administered By Israel,1.0307199758252548e-07,137117.0,1,0.0,-0.05359630406563786,0.0024845664638928314
Vatican City,9.796263574140859e-08,130320.0,1,0.0,-0.042635318729342106,0.0024845664638928314
Ethiopia,9.326069984083683e-08,124065.0,1,0.0,-0.0620544398317688,0.0024845664638928314
Bahamas,9.022304628780559e-08,120024.0,1,0.0,0.06810821906101028,0.0024845664638928314
Qatar,8.65253927794263e-08,115105.0,1,0.0,0.11490212695540052,0.0024845664638928314
South Sudan,8.531664570858387e-08,113497.0,1,0.0,0.10234787052686767,0.0024845664638928314
Nicaragua,8.3723023948518e-08,111377.0,1,0.0,0.08514472868793198,0.0024845664638928314
St Kitts And Nevis,8.06447781431077e-08,107282.0,1,0.0,-0.03446304259852404,0.0024845664638928314
Malawi,7.912632722078078e-08,105262.0,1,0.0,0.11594334875263335,0.0024845664638928314
Cocos (Keeling) Islands,7.104546216384291e-08,94512.0,1,0.0,-0.06026415689484716,0.0024845664638928314
Algeria,6.229407323427355e-08,82870.0,1,0.0,-0.013808784742506778,0.0024845664638928314
Curacao,5.7626715919061726e-08,76661.0,1,0.0,0.03865473038208359,0.0024845664638928314
French Southern And Antarctic Lands,5.7310246692180714e-08,76240.0,1,0.0,0.10182179042121134,0.0024845664638928314
San Marino,4.870168235431538e-08,64788.0,1,0.0,-0.01790483640159416,0.0024845664638928314
Belize,4.722307197599009e-08,62821.0,1,0.0,0.028361058670360713,0.0024845664638928314
Wallis And Futuna,4.7204279266555356e-08,62796.0,1,0.0,-0.09048977811160332,0.0024845664638928314
Christmas Island,4.5128060728205367e-08,60034.0,1,0.0,0.0241876279694286,0.0024845664638928314
Micronesia,4.5026580097257774e-08,59899.0,1,0.0,-0.0015559325773557443,0.0024845664638928314
Bosnia And Herzegovina,4.473191041332106e-08,59507.0,1,0.0,0.07625250954112829,0.0024845664638928314
Reunion,3.8530316299857124e-08,51257.0,1,0.0,-0.09638066154203885,0.0024845664638928314
Fiji,3.529421173519503e-08,46952.0,1,0.0,0.11276250743265659,0.0024845664638928314
Mongolia,3.475373341185193e-08,46233.0,1,0.0,0.06349775690825887,0.0024845664638928314
Congo,3.3466056961383594e-08,44520.0,1,0.0,-0.05587240426241673,0.0024845664638928314
Oman,3.06479022545501e-08,40771.0,1,0.0,0.045015355957146584,0.0024845664638928314
Afghanistan,2.9353460428685266e-08,39049.0,1,0.0,-0.00010156818980142618,0.0024845664638928314
Guadeloupe,2.8697219015224172e-08,38176.0,1,0.0,-0.08803302408391855,0.0024845664638928314
Tuvalu,2.5005579173864e-08,33265.0,1,0.0,0.09170881728357001,0.0024845664638928314
Madagascar,2.401257240733238e-08,31944.0,1,0.0,-0.043730452924546075,0.0024845664638928314
Tanzania,2.1543210387607647e-08,28659.0,1,0.0,0.01618782204646757,0.0024845664638928314
Antigua And Barbuda,1.628125174588067e-08,21659.0,1,0.0,-0.03901423510670754,0.0024845664638928314
Anguilla,1.4916901040918602e-08,19844.0,1,0.0,0.02940927660383788,0.0024845664638928314
Benin,1.4372664175688553e-08,19120.0,1,0.0,-0.08144866332393802,0.0024845664638928314
Burundi,1.4357630008140762e-08,19100.0,1,0.0,0.0003770993874313392,0.0024845664638928314
Grenada,1.3792345308343805e-08,18348.0,1,0.0,-0.07573448302216468,0.0024845664638928314
Kiribati,1.2057402373328682e-08,16040.0,1,0.0,-0.058101486263401864,0.0024845664638928314
Palau,1.2036354538761773e-08,16012.0,1,0.0,0.09736342732374025,0.0024845664638928314
Western Sahara,1.0879475345959227e-08,14473.0,1,0.0,-0.06289861467639132,0.0024845664638928314
Cabo Verde,1.0698313627008342e-08,14232.0,1,0.0,0.022745808510393862,0.0024845664638928314
Bangladesh,1.0636673540062397e-08,14150.0,1,0.0,-0.0027637858387052944,0.0024845664638928314
Lebanon,1.0476559655678419e-08,13937.0,1,0.0,-0.0596122598689501,0.0024845664638928314
Brunei,9.576013019565715e-09,12739.0,1,0.0,0.10440019334053775,0.0024845664638928314
Comoros,8.67922492533996e-09,11546.0,1,0.0,0.014803274051798336,0.0024845664638928314
Burkina Faso,8.607060921110561e-09,11450.0,1,0.0,0.11111529273929463,0.0024845664638928314
Dominica,6.840546234245075e-09,9100.0,1,0.0,0.03121583351410902,0.0024845664638928314
Aruba,6.371480206753984e-09,8476.0,1,0.0,-0.10334219093018901,0.0024845664638928314
Solomon Islands,4.778610155065488e-09,6357.0,1,0.0,0.09506061194393554,0.0024845664638928314
Nepal,4.162209285606042e-09,5537.0,1,0.0,0.01424346939787471,0.0024845664638928314
Tokelau,3.881822060839733e-09,5164.0,1,0.0,-0.07393877910765434,0.0024845664638928314
Pitcairn Islands,3.0970385148450227e-09,4120.0,1,0.0,0.09455207641091105,0.0024845664638928314
Sint Maarten,2.067198037821314e-09,2750.0,1,0.0,0.04858400224077835,0.0024845664638928314
Bhutan,1.728929267996008e-09,2300.0,1,0.0,-0.041340634420628714,0.0024845664638928314
Martinique,1.669544306182232e-09,2221.0,1,0.0,0.029308596870550905,0.0024845664638928314
