faf_state,faf_zone,border_state_1,border_state_2,faf_country,lane_count,capacity,unit_cost,transit_days,reliability,capacity_share,capacity_share_pct
CA,61,NV,CA,USA,7,2093.8389591,0.17602738609518978,1.0,0.1177101662323392,0.004783011736249035,0.4783011736249035
TX,485,TX,NM,USA,23,2041.34594887,0.16936829082330357,1.0,0.055090151665555316,0.004663100564040714,0.4663100564040714
MO,299,MO,AR,USA,64,2037.2982523780001,0.15574580673397026,1.0,0.4820469463630059,0.004653854303843927,0.46538543038439273
NV,329,NV,CA,USA,69,2033.496184521,0.17503730192990172,1.0,0.2544093385520345,0.0046451691396372854,0.4645169139637285
GA,139,GA,AL,USA,62,1999.06275204929,0.17245433171947747,1.0,0.3387210518699456,0.004566511938750012,0.45665119387500125
AZ,49,UT,AZ,USA,24,1972.4510351188,0.18294766701109463,1.0,0.2954927519373349,0.004505722089632398,0.4505722089632398
UT,499,UT,AZ,USA,20,1965.4260717188001,0.17959629822888187,1.0,0.2588633553517058,0.004489674779860608,0.44896747798606085
GA,139,SC,GA,USA,96,1933.498175254,0.19955946854949372,1.0,0.3382223670520444,0.0044167410411692035,0.4416741041169204
LA,229,LA,TX,USA,32,1926.126426628,0.1628104000298686,1.0,0.2691407257543973,0.004399901560729891,0.4399901560729891
WI,559,WI,MN,USA,124,1896.31865612878,0.19121602412346536,1.0,0.31505906186574034,0.004331810881879179,0.4331810881879179
TN,472,TN,KY,USA,26,1891.11431385,0.17174055897269944,1.0,0.19959712965697,0.004319922465107355,0.4319922465107355
GA,139,FL,GA,USA,81,1886.12611655148,0.184042003525808,1.0,0.36151582629367374,0.004308527794033032,0.43085277940330324
SC,452,SC,GA,USA,31,1813.831119108,0.19623940386187022,1.0,0.32670429514072585,0.0041433824184818535,0.41433824184818535
NC,379,NC,SC,USA,84,1779.62985063835,0.1924954351143377,1.0,0.22460016374784786,0.004065255555967435,0.40652555559674347
IL,171,WI,IL,USA,18,1767.924151805,0.19719475434953523,1.0,0.11214005842927903,0.004038515918395224,0.4038515918395224
NC,372,VA,NC,USA,25,1686.03842876,0.1750843356520272,1.0,0.3188474596546944,0.0038514621945864827,0.3851462194586483
NC,379,VA,NC,USA,66,1684.47564896754,0.18226261061763935,1.0,0.17354593028125578,0.003847892295356161,0.38478922953561606
TN,471,TN,MS,USA,41,1668.0199453844,0.18106953671592438,1.0,0.155763940382354,0.003810302096251152,0.3810302096251152
NE,319,WY,NE,USA,28,1575.7261913846999,0.16229644905964657,1.0,0.18691957844885224,0.0035994730319410706,0.35994730319410706
TX,482,LA,TX,USA,15,1564.454625,0.17442174718892214,1.0,0.27075398638782194,0.003573725094608248,0.3573725094608248
CO,89,UT,CO,USA,19,1564.18781522,0.17819421088432594,1.0,0.33016301932649056,0.0035731156139681346,0.35731156139681347
UT,499,UT,CO,USA,19,1564.18781522,0.17819421088432594,1.0,0.33016301932649056,0.0035731156139681346,0.35731156139681347
MS,280,TN,MS,USA,56,1556.5813213147999,0.1859009142543364,1.0,0.15821839833184922,0.0035557398986762975,0.3555739898676297
WV,540,WV,PA,USA,56,1551.8273889799998,0.20376826113587604,1.0,0.10092824218608762,0.003544880365257139,0.3544880365257139
LA,222,LA,TX,USA,7,1540.5633687000002,0.1788007963716441,1.0,0.01505202443814437,0.003519149665690949,0.3519149665690949
KS,201,MO,KS,USA,49,1534.7070381610001,0.1778990642867851,1.0,0.13370055457070604,0.0035057718948850077,0.35057718948850075
WY,560,WY,UT,USA,23,1508.7442582139402,0.20144032053877284,1.0,0.3419953106265021,0.003446464429689205,0.3446464429689205
NC,371,NC,SC,USA,39,1497.9404805787,0.2058830913946114,1.0,0.20495420774353915,0.0034217850745742397,0.34217850745742395
TX,489,LA,TX,USA,19,1470.125588978,0.1634471231492669,1.0,0.20846727677839424,0.0033582467817220387,0.33582467817220385
IL,179,MO,IL,USA,35,1458.015282982,0.16125854808504037,1.0,0.14498795596915734,0.0033305828893024744,0.33305828893024747
IA,190,MO,IA,USA,56,1448.0882091353,0.1636702660338997,1.0,0.4152520579569078,0.0033079062118488343,0.33079062118488345
MO,299,MO,IA,USA,52,1447.1826780301,0.15991336935970002,1.0,0.42958827092979374,0.0033058376831853063,0.33058376831853065
MO,299,MO,IL,USA,34,1445.645923894,0.16271857887363586,1.0,0.17865934185383822,0.0033023272350504334,0.33023272350504335
CT,91,MA,CT,USA,29,1351.61478595,0.22976179142122474,1.0,0.0728751411225506,0.0030875294186260404,0.30875294186260405
GA,131,GA,AL,USA,26,1339.19197378925,0.17608481493118855,1.0,0.31408277321843525,0.0030591516601055743,0.30591516601055746
OK,409,OK,AR,USA,50,1339.165565324,0.17166294875678506,1.0,0.3150378122273375,0.0030590913345496483,0.30590913345496484
CO,89,CO,NE,USA,44,1323.6449492482,0.1643792577980441,1.0,0.2696856636545704,0.003023637180579624,0.3023637180579624
NE,319,CO,NE,USA,36,1321.3293615182001,0.1638459656436883,1.0,0.3248993755084392,0.003018347622258642,0.3018347622258642
LA,229,LA,MS,USA,16,1310.5259875228,0.1767457162909153,1.0,0.14250743188955184,0.0029936691891888434,0.29936691891888434
IA,190,IA,SD,USA,58,1229.30841561292,0.1663932472807113,1.0,0.32700787951753596,0.0028081417406970164,0.28081417406970166
NY,363,NY,CT,USA,41,1227.9314305802,0.2190717744879453,1.0,0.1562411136344652,0.002804996257352409,0.2804996257352409
AL,12,MS,AL,USA,8,1224.21936,0.17992931422195385,1.0,0.26583153682928384,0.002796516676306447,0.2796516676306447
DE,101,PA,DE,USA,33,1222.41916931401,0.22487294864981858,1.0,0.17140671184933104,0.002792404453090256,0.2792404453090256
KY,211,OH,KY,USA,51,1200.40919946,0.19854545319614997,1.0,0.27766745704473084,0.002742126496579471,0.27421264965794706
KS,209,CO,KS,USA,33,1167.96610463784,0.16203519198864397,1.0,0.2685090857405602,0.0026680158766484467,0.2668015876648447
MT,300,ID,MT,USA,54,1162.56483226409,0.16725323649726712,1.0,0.31297643062737,0.002655677607250007,0.2655677607250007
PA,422,WV,PA,USA,20,1161.70401376,0.18530468984810483,1.0,0.13713091143448772,0.0026537112167642684,0.26537112167642685
MD,249,MD,DE,USA,47,1155.637717994,0.2228538417955474,1.0,0.18154862819180395,0.0026398538168347116,0.26398538168347113
DE,101,MD,DE,USA,25,1124.91635747,0.21901019064737276,1.0,0.12820533525843916,0.00256967620011724,0.256967620011724
NC,379,TN,NC,USA,47,1115.65838212193,0.1739727070278669,1.0,0.26589476503053894,0.0025485279620680455,0.25485279620680457
