state_abbr,region,demand_usd,delivered_usd,unmet_usd,fill_rate,shortfall_usd,strategy,scenario
KY,EAST,42681707.54411248,42681707.544112474,0.0,0.9999999999999998,0.0,Cost-Minimizing,stress
DE,EAST,40027029.44968868,40027029.44968868,0.0,1.0,0.0,Cost-Minimizing,stress
ME,EAST,34959007.63306143,34959007.63306143,0.0,1.0,0.0,Cost-Minimizing,stress
NE,CENTRAL,32518082.83974708,32518082.83974708,0.0,1.0,0.0,Cost-Minimizing,stress
NV,WEST,31807870.258641493,31807870.258641493,0.0,1.0,0.0,Cost-Minimizing,stress
LA,EAST,28987705.73755232,28987705.73755232,0.0,1.0,0.0,Cost-Minimizing,stress
RI,EAST,28360236.369779423,28360236.369779423,0.0,1.0,0.0,Cost-Minimizing,stress
VT,EAST,28249912.085335836,28249912.085335836,0.0,1.0,0.0,Cost-Minimizing,stress
AR,EAST,14266309.032111265,14266309.032111263,0.0,0.9999999999999999,0.0,Cost-Minimizing,stress
MT,WEST,9329297.303260772,9329297.303260772,0.0,1.0,0.0,Cost-Minimizing,stress
SD,CENTRAL,9225868.28659491,9225868.28659491,0.0,1.0,0.0,Cost-Minimizing,stress
MS,EAST,6833210.367724631,6833210.367724632,0.0,1.0000000000000002,0.0,Cost-Minimizing,stress
ND,CENTRAL,6826315.099946907,6826315.099946907,0.0,1.0,0.0,Cost-Minimizing,stress
DC,EAST,4109579.595523592,4109579.595523592,0.0,1.0,0.0,Cost-Minimizing,stress
HI,WEST,3592434.512194281,3592434.5121942814,0.0,1.0000000000000002,0.0,Cost-Minimizing,stress
WV,EAST,3220090.0521971774,3220090.0521971774,0.0,1.0,0.0,Cost-Minimizing,stress
WY,WEST,2482296.3999806936,2482296.3999806936,0.0,1.0,0.0,Cost-Minimizing,stress
AK,WEST,1634178.4633206232,1634178.463320623,0.0,0.9999999999999999,0.0,Cost-Minimizing,stress
CA,WEST,8526129617.243685,8526129617.243685,0.0,1.0,0.0,Resilience-First,stress
TX,CENTRAL,1886365987.023106,1886365987.023106,0.0,1.0,0.0,Resilience-First,stress
OR,WEST,1054155433.1262456,1054155433.1262455,0.0,0.9999999999999999,0.0,Resilience-First,stress
MA,EAST,885793679.797555,885793679.797555,0.0,1.0,0.0,Resilience-First,stress
AZ,WEST,746881615.1475242,746881615.1475244,0.0,1.0000000000000002,0.0,Resilience-First,stress
NY,EAST,660001241.1481999,660001241.1481999,0.0,1.0,0.0,Resilience-First,stress
