origin_date,hs_code,actual_supply,demand_proxy,demand_proxy_ma12,month,q10,q50,q90,prediction_interval_width,forecast_date,horizon_months,cqr_qhat,cqr_qhat_global,predicted_gap_pct,lower_gap_pct,upper_gap_pct,forecast_month,seasonal_index,demand_proxy_base,demand_proxy_seasonal,demand_proxy_selected,risk_q10,risk_q50,risk_q90,demand_proxy_used,baseline_supply_demand_ratio,risk_supply_demand_ratio,actual_supply_demand_ratio,baseline_shortfall_usd,risk_shortfall_usd,actual_shortfall_usd,baseline_shortage_flag,risk_shortage_flag,actual_shortage_flag,track,trigger_active,initial_inventory_months,initial_inventory_usd,baseline_ending_inventory_usd,baseline_cumulative_shortfall_usd,baseline_stockout_step,baseline_stockout_flag,risk_ending_inventory_usd,risk_cumulative_shortfall_usd,risk_stockout_step,risk_stockout_flag,actual_ending_inventory_usd,actual_cumulative_shortfall_usd,actual_stockout_step,actual_stockout_flag,risk_first_stockout_date,risk_ending_inventory_months,trigger_threshold_pct,effective_predicted_gap_pct,effective_lower_gap_pct,effective_upper_gap_pct,substitution_elasticity,elastic_predicted_gap_pct,elastic_lower_gap_pct,elastic_upper_gap_pct,breach_line_q10,module1_bias_factor
2021-03-01,854231,15480777499,14312494355.0,10327516456.666666,3,7670339867.446414,10081066463.034891,10394592706.99228,2724252839.545865,2021-06-01,3,0.0,0.0,17.95,15.0,20.9,6,1.017448821258098,14312494355.0,14562230510.757933,14562230510.757933,7670339867.446414,10081066463.034891,10394592706.99228,14562230510.757933,0.6922748857455212,0.6922748857455212,1.063077355324343,4481164047.723042,4481164047.723042,0.0,True,True,False,baseline,True,1.0,14562230510.757933,1118738367.588808,0.0,,False,1118738367.588808,0.0,,False,17317871475.48413,0.0,,False,,0.07682465723656369,,,,,,,,,,
2021-04-01,854231,12542491149,7340963178.0,10613386350.25,4,8737342305.176222,9698477713.475544,11064647135.79509,2327304830.618868,2021-07-01,3,0.0,0.0,19.0,15.89,22.11,7,0.9898857016834234,7340963178.0,7266714486.486704,7266714486.486704,8737342305.176222,9698477713.475544,11064647135.79509,7266714486.486704,1.3346441134450768,1.3346441134450768,1.7260195336316313,0.0,0.0,0.0,False,False,False,baseline,True,1.0,7266714486.486704,14562004167.453222,0.0,,False,14562004167.453222,0.0,,False,23094044474.026596,0.0,,False,,2.0039323403352305,,,,,,,,,,
2021-05-01,854231,15422237298,8553109548.0,11049141590.25,5,9372698276.200546,9372698276.200546,10558937276.35643,1186239000.1558838,2021-08-01,3,0.0,0.0,19.0,15.89,22.11,8,1.0807059466328355,8553109548.0,9243396350.725683,9243396350.725683,9372698276.200546,9372698276.200546,10558937276.35643,9243396350.725683,1.0139885730924771,1.0139885730924771,1.6684600240894383,0.0,0.0,0.0,False,False,False,baseline,True,1.0,9243396350.725683,9631302127.15027,0.0,,False,9631302127.15027,0.0,,False,27779919192.54863,0.0,,False,,1.0419657192774314,,,,,,,,,,
2021-06-01,854231,13564183498,10728980477.0,11561757188.25,6,7856422959.590562,9982194676.808605,10899407784.474106,3042984824.883544,2021-09-01,3,0.0,0.0,19.0,15.89,22.11,9,1.0260655103385352,10728980477.0,11008636828.545185,11008636828.545185,7856422959.590562,9982194676.808605,10899407784.474106,11008636828.545185,0.9067602857898778,0.9067602857898778,1.2321401558845444,1026442151.7365799,1026442151.7365799,0.0,False,False,False,baseline,True,1.0,11008636828.545185,7929310373.335445,0.0,,False,7929310373.335445,0.0,,False,18675276836.90963,0.0,,False,,0.7202808573696332,,,,,,,,,,
2021-07-01,854231,10211091043,7734991642.0,11957740273.416666,7,7705511984.588215,9006972943.971334,10509233457.189463,2803721472.601248,2021-10-01,3,0.0,0.0,18.35,15.32,21.41,10,1.0468016294450389,7734991642.0,8097001854.589356,8097001854.589356,7705511984.588215,9006972943.971334,10509233457.189463,8097001854.589356,1.1123837076641163,1.1123837076641163,1.2610953074207811,0.0,0.0,0.0,False,False,False,baseline,True,1.0,8097001854.589356,10826915122.735298,0.0,,False,10826915122.735298,0.0,,False,14439269419.82129,0.0,,False,,1.3371511229923498,,,,,,,,,,
2021-08-01,854231,11167987454,10248217902.0,12358365232.333334,8,7902266215.128719,10315506326.276836,10666651325.12965,2764385110.000931,2021-11-01,3,0.0,0.0,18.35,15.32,21.41,11,0.9869961007053311,10248217902.0,10114951108.452568,10114951108.452568,7902266215.128719,10315506326.276836,10666651325.12965,10114951108.452568,1.0198276013076004,1.0198276013076004,1.1041069140381174,0.0,0.0,0.0,False,False,False,baseline,True,1.0,10114951108.452568,10716616761.925373,0.0,,False,10716616761.925373,0.0,,False,13274060145.094864,0.0,,False,,1.0594828039228013,,,,,,,,,,
2021-09-01,854231,14637149253,11573013160.0,12789533515.333334,9,8817308359.731659,9884044588.989723,11260621138.773045,2443312779.0413857,2021-12-01,3,0.0,0.0,18.35,15.32,21.41,12,1.075492432541878,11573013160.0,12446688075.287565,12446688075.287565,8817308359.731659,9884044588.989723,11260621138.773045,12446688075.287565,0.7941104114767787,0.7941104114767787,1.175987472688539,2562643486.297842,2562643486.297842,0.0,True,True,False,baseline,True,1.0,12446688075.287565,4758757616.394037,0.0,,False,4758757616.394037,0.0,,False,19018071608.424866,0.0,,False,,0.38233123443033595,,,,,,,,,,
2021-10-01,854231,9392142152,11201719928.0,12955464376.833334,10,8269565519.580441,8516223018.216112,10123087226.618221,1853521707.0377798,2022-01-01,3,0.0,0.0,18.48,15.44,21.56,1,0.8786212457661585,11201719928.0,9842069117.862963,9842069117.862963,8269565519.580441,8516223018.216112,10123087226.618221,9842069117.862963,0.8652878694744692,0.8652878694744692,0.9542853275591854,1325846099.6468506,1325846099.6468506,449926965.8629627,False,False,False,baseline,True,1.0,9842069117.862963,5864530818.922411,0.0,,False,5864530818.922411,0.0,,False,8492288220.274076,0.0,,False,,0.5958636084234078,,,,,,,,,,
2021-11-01,854231,10144241332,10880135502.0,12872911969.75,11,7948126450.004173,8473455018.759289,10083644409.101114,2135517959.096941,2022-02-01,3,0.0,0.0,18.48,15.44,21.56,2,0.8745421716419953,10880135502.0,9515137329.678251,9515137329.678251,7948126450.004173,8473455018.759289,10083644409.101114,9515137329.678251,0.8905236703552458,0.8905236703552458,1.0661161242896136,1041682310.9189625,1041682310.9189625,0.0,False,False,False,baseline,True,1.0,9515137329.678251,6390090396.921362,0.0,,False,6390090396.921362,0.0,,False,11402449336.643496,0.0,,False,,0.6715710110657372,,,,,,,,,,
2021-12-01,854231,15893014894,11828645704.0,12896899632.416666,12,8310936321.828083,8581750080.444409,9867349977.831614,1556413656.0035305,2022-03-01,3,0.0,0.0,18.48,15.44,21.56,3,1.028460054826496,11828645704.0,12165289609.259035,12165289609.259035,8310936321.828083,8581750080.444409,9867349977.831614,12165289609.259035,0.7054291641288026,0.7054291641288026,1.3064230613880152,3583539528.8146257,3583539528.8146257,0.0,True,True,False,baseline,True,1.0,12165289609.259035,1414671022.8151608,0.0,,False,1414671022.8151608,0.0,,False,23348465463.481934,0.0,,False,,0.11628749238640819,,,,,,,,,,
2021-01-01,854232,695969916,1196269097.0,779698776.3333334,1,652281857.7122625,725223793.622172,818374800.0703455,166092942.358083,2021-04-01,3,0.0,0.0,17.95,15.0,20.9,4,1.0045233929007555,1196269097.0,1201680292.140763,1201680292.140763,652281857.7122625,725223793.622172,818374800.0703455,1201680292.140763,0.6035081030830622,0.6035081030830622,0.5791639594589233,476456498.51859105,476456498.51859105,505710376.14076304,True,True,True,baseline,True,1.0,1201680292.140763,0.0,227689203.41500986,3.0,True,0.0,227689203.41500986,3.0,True,0.0,315450836.2815261,3.0,True,2021-04-01,0.0,,,,,,,,,,
