forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50
2021-12-01,1,22838461230.0,16518733507.723003,17660522168.237614
2022-01-01,1,16825969850.0,16306136570.724792,17205884304.81644
2022-02-01,1,17926558167.0,17815692712.820644,16614356192.232649
2022-03-01,1,24345128144.0,17562034654.948395,17026624663.357227
2022-04-01,1,19283273155.0,19305159885.402657,17883029744.1521
2022-05-01,1,22462593594.0,18251215493.19037,17045336715.232883
2022-06-01,1,25382434138.0,18964555461.099075,18068801565.755836
2022-07-01,1,18078761012.0,19673056400.064705,19226240041.198616
2022-08-01,1,19109349191.0,19121097103.12479,18719306440.59976
2022-09-01,1,22912337265.0,19551564801.258087,19415005647.45082
2022-10-01,1,21731214143.0,19276863518.987896,19072966365.808563
2022-11-01,1,18903201958.0,18688135881.942764,19212583645.386005
2022-12-01,1,18071089869.0,19100527455.386726,19229212324.820904
2023-01-01,1,15587939055.0,18847955976.18776,18198369919.85426
2023-02-01,1,16188265112.0,19282029270.975967,18789838102.65574
2023-03-01,1,18854384035.0,17293490212.309612,16856269886.613192
2023-04-01,1,14926679028.0,19180919525.086266,19433299104.93944
2023-05-01,1,17582537728.0,18883464777.562683,18714169649.781338
2023-06-01,1,17632184717.0,18611943638.137047,18409241666.518593
2023-07-01,1,17322727545.0,17894088961.31136,17395496478.223648
2023-08-01,1,16330912909.0,17113300250.051004,17033907879.657215
2023-09-01,1,17130679988.0,16782724742.842031,16874608730.27718
2023-10-01,1,16308621366.0,17747303170.42157,17472973324.128777
2023-11-01,1,15719830912.0,16376911923.131737,16375544317.779053
2023-12-01,1,16922530187.0,16509361151.668846,16513688809.426945
2024-01-01,1,15459241727.0,17045447610.529896,16872391937.275402
2024-02-01,1,12976621615.0,15269330334.641386,15503361674.646317
2024-03-01,1,18017207600.0,17522474807.76175,17317355675.80328
2024-04-01,1,15623948502.0,14329190065.033434,14525889814.131603
2024-05-01,1,17156929700.0,16178638146.213509,16168096164.080648
2024-06-01,1,19912255337.0,15854993323.80174,16466454858.91523
2024-07-01,1,18844751694.0,15340002292.56533,15367917187.10241
2024-08-01,1,17975867131.0,17003344785.571676,16995592412.269958
2024-09-01,1,23441488042.0,16266776689.209955,16053672479.674854
2024-10-01,1,19348491244.0,15635577882.09431,15638497681.62822
2024-11-01,1,18598094478.0,17884387008.463615,17231867119.33179
2024-12-01,1,21980718113.0,16823636986.589706,16277110622.612514
2025-01-01,1,,18247067334.67965,17757507161.96335
2025-02-01,1,,16384660731.135975,17220781926.889576
2025-03-01,1,,21724385848.65982,20874661380.604187
2025-04-01,1,,17017836734.13824,16537651670.256046
2025-05-01,1,,17811027474.95902,17531466047.695484
2025-06-01,1,,19071745729.216785,18645475438.7659
2025-07-01,1,,18329531068.279934,17352945434.401596
2025-08-01,1,,17722024715.958454,18089587619.96208
2025-09-01,1,,20396181080.764347,20958696457.832565
2025-10-01,1,,18295173831.97861,18119645431.755127
2025-11-01,1,,18675736171.6106,18700328836.858517
2025-12-01,1,,21083421294.995216,20985999659.488964
2026-01-01,1,,18021581631.98618,17168068785.045765
2026-02-01,1,,18348725696.85559,18617527998.5728
2026-03-01,1,,20622423579.001053,21062823622.97786
2026-04-01,1,,19408594655.372723,17748460961.309433
2026-05-01,1,,19230945946.026672,18906782344.367367
2026-06-01,1,,18798318559.130066,18475487963.274773
2026-07-01,1,,18026413534.830215,17608315501.942883
2026-08-01,1,,16280177831.295406,16455874294.630732
2026-09-01,1,,16279034380.085876,16462596613.358686
2026-10-01,1,,15485047719.62738,15755509616.685976
2026-11-01,1,,16114786495.20654,16264771896.71056
2026-12-01,1,,16301639246.468632,16148838039.951687
2012-04-01,3,12508837271.0,12523925840.799503,12555165059.38144
2012-05-01,3,13638829321.0,13595562258.63301,13646262311.991756
2012-06-01,3,13691511869.0,13594383006.705233,13664725018.986732
2012-07-01,3,13236516471.0,13233739974.108805,13231823795.39249
2012-08-01,3,13454126348.0,13500639665.926262,13454994589.536198
2012-09-01,3,13136362011.0,13131862919.927052,13138103549.37959
2012-10-01,3,13806343142.0,12998703818.619144,13126260011.484385
2012-11-01,3,12995830345.0,13064055499.887146,12918395045.220238
2012-12-01,3,12979986874.0,13007592810.697914,13111390836.797005
2013-01-01,3,13270087181.0,13114764630.41734,13286829511.52938
2013-02-01,3,12442104437.0,12536652231.846956,12504956400.2198
2013-03-01,3,13934248352.0,13548329789.401472,13782315746.340958
2013-04-01,3,13877522014.0,13826036661.726671,13891216009.881966
2013-05-01,3,14885665265.0,14506770052.127443,14133125627.818075
2013-06-01,3,14063161830.0,14102255603.9313,14089448932.093016
2013-07-01,3,14890811919.0,14531122431.23808,14248299395.545412
2013-08-01,3,14526726621.0,14665010204.783491,14508537686.317638
2013-09-01,3,15218483480.0,14892448816.930964,14880469439.137917
2013-10-01,3,15160724733.0,15068391163.369192,15170915766.755306
2013-11-01,3,13704923064.0,13563575545.229904,13476335984.144142
2013-12-01,3,13322370066.0,13385421045.94209,13273802877.263256
2014-01-01,3,12042272680.0,12444133081.246616,12285591323.997007
2014-02-01,3,12129411973.0,12216551297.651705,12286518233.203987
2014-03-01,3,13642635317.0,13645430971.409067,13648560429.011606
2014-04-01,3,14739015105.0,14677046199.714256,14737749431.668476
2014-05-01,3,14441958963.0,14575116640.984592,14618260995.82393
2014-06-01,3,14131294655.0,14129862305.712698,14143985564.826223
2014-07-01,3,14115471456.0,14242818506.105104,14065457725.342133
2014-08-01,3,15314135510.0,15169390992.81974,14907292269.079489
2014-09-01,3,15311949482.0,15312279521.93667,15286154121.620968
2014-10-01,3,16135798066.0,15564325118.10355,15752945914.38927
2014-11-01,3,13401732288.0,13508889904.455685,13553262251.544468
2014-12-01,3,14489462174.0,14476363938.800434,14483981458.46054
2015-01-01,3,13320512109.0,13573421343.588367,13314594701.537483
2015-02-01,3,12147033380.0,12242809140.246012,12275543253.894386
2015-03-01,3,13640767734.0,13678145065.000622,13598770500.30234
2015-04-01,3,13846694397.0,13845142108.262512,13812140717.315935
2015-05-01,3,13586956224.0,13604543669.334734,13573438027.812054
2015-06-01,3,13610916537.0,13629361056.49205,13735601691.57318
2015-07-01,3,14322958353.0,14328403744.437351,14322424539.291023
2015-08-01,3,13125503297.0,13126870636.249348,13141427790.62028
2015-09-01,3,13861045488.0,13857073146.677069,13858363490.239107
2015-10-01,3,13554712255.0,13638035111.690315,13607461616.592876
2015-11-01,3,11855356229.0,11907841244.53857,11975104412.652864
2015-12-01,3,13581128076.0,13573059939.167015,13585514747.291384
2016-01-01,3,12456584762.0,12458194110.728855,12489727262.97514
2016-02-01,3,12005416664.0,12020539690.354242,12057096334.829609
2016-03-01,3,15882037156.0,14891071027.74492,14973078416.59167
2016-04-01,3,14256086284.0,13810827087.788136,13969376718.475838
2016-05-01,3,14436541054.0,13955933420.733446,14104907728.202335
2016-06-01,3,15024868444.0,14850577538.358646,14968151577.991796
2016-07-01,3,14551800842.0,14667961273.408487,14562971793.106112
2016-08-01,3,15153544611.0,15165696926.204786,15302687629.327158
2016-09-01,3,14511045046.0,14370603896.110815,14380797127.724836
2016-10-01,3,15428124242.0,15197420279.899109,15093908303.714
2016-11-01,3,14306893703.0,14305395265.02325,14289739141.158056
2016-12-01,3,14995700048.0,15036249998.94095,14976677686.988176
2017-01-01,3,16015322383.0,15683795558.423136,15658781910.621284
2017-02-01,3,14640813035.0,14658143873.34851,14691464564.680534
2017-03-01,3,16666647849.0,16621079110.451609,16673959605.833162
2017-04-01,3,14313490890.0,14165884739.790169,14195216674.89856
2017-05-01,3,16206726644.0,15695283484.9481,15743142026.704412
2017-06-01,3,16221936802.0,15884229960.402683,15582687961.331123
2017-07-01,3,14538702735.0,14400680462.153517,14539363870.761108
2017-08-01,3,16321024221.0,16036832993.09386,15800263557.457443
2017-09-01,3,16528007735.0,16520902384.383366,16518973909.777128
2017-10-01,3,15792710618.0,15776691633.22447,15773910045.159063
2017-11-01,3,17919251284.0,17682648739.188236,17716385244.19957
2017-12-01,3,16555913336.0,16557553476.63249,16560583630.812338
2018-01-01,3,15792705183.0,15781610395.318497,15766181711.52832
2018-02-01,3,16027285171.0,16124925002.650724,16096742456.731655
2018-03-01,3,16269499964.0,16308547263.533571,16274341268.640568
2018-04-01,3,16735417807.0,16739871488.144367,16747075683.243498
2018-05-01,3,18659045468.0,17920569831.308006,17903526568.258274
2018-06-01,3,16734974592.0,16588595774.624533,16715082975.059872
2018-07-01,3,17091457368.0,16300736567.808878,16558213770.988775
2018-08-01,3,17662177999.0,17109344503.136898,17017312091.851822
2018-09-01,3,16163468299.0,16109189182.095093,16114175263.392658
2018-10-01,3,15018312664.0,15059472360.079033,15015162334.8681
2018-11-01,3,16089025644.0,16083233023.512447,16191500310.013453
2018-12-01,3,17686714202.0,17366736442.46658,17329503251.309395
2019-01-01,3,14564220624.0,14587371324.922209,14577521431.637548
2019-02-01,3,12938284687.0,12982678865.805378,13067854752.885475
2019-03-01,3,16715625564.0,16630281863.024536,16874031867.594995
2019-04-01,3,12718876580.0,12739598960.238585,12720135210.133871
2019-05-01,3,15572264308.0,15665743929.87932,15585773388.300034
2019-06-01,3,15266537991.0,15410965325.124723,15268375483.850813
2019-07-01,3,14621505917.0,14988391578.217628,14714302327.091587
2019-08-01,3,18700004068.0,18212012275.13803,17765874771.473938
2019-09-01,3,15128612959.0,15226095069.772243,15135875675.88012
2019-10-01,3,19059604038.0,17184787284.51391,17402633800.93708
2019-11-01,3,15102976816.0,15234700923.53128,15201692192.764618
2019-12-01,3,18128386618.0,17496407179.370026,17862056848.136864
2020-01-01,3,15394419240.0,16495434411.56752,16249523899.16274
2020-02-01,3,13340080769.0,15396068359.563969,15298935837.621067
2020-03-01,3,20069828156.0,16550376828.730053,16475850907.661802
2021-04-01,3,17505916872.0,16080997616.642262,15975507957.52595
2021-05-01,3,20882183495.0,14803987184.74302,14542507579.25271
2021-06-01,3,21960801156.0,15471730574.976692,15003801509.650108
2021-07-01,3,18948651730.0,16702674265.44759,17859271499.527386
2021-08-01,3,22797670023.0,14613009710.535534,14933105726.662966
2021-09-01,3,20690069970.0,16711115754.797592,16856690297.440607
2021-10-01,3,17404362145.0,15091977042.557089,16287148014.601322
2021-11-01,3,19612659252.0,16151851788.252594,16545362635.183418
2021-12-01,3,22838461230.0,16793885090.138647,16169714210.981876
2022-01-01,3,16825969850.0,15945222989.142204,16267716770.285698
2022-02-01,3,17926558167.0,15610481142.805365,15654517339.82898
2022-03-01,3,24345128144.0,15954726034.117298,16649906563.217064
2022-04-01,3,19283273155.0,16860360005.78832,16731476790.410685
2022-05-01,3,22462593594.0,19066101623.803436,16783010644.458645
2022-06-01,3,25382434138.0,16799920055.329128,17495696399.633274
2022-07-01,3,18078761012.0,18026525523.17041,17114983987.755432
2022-08-01,3,19109349191.0,18644799107.803345,18666900160.872353
2022-09-01,3,22912337265.0,19037875270.261803,17202145151.110153
2022-10-01,3,21731214143.0,17253851280.812084,17422103624.81206
2022-11-01,3,18903201958.0,18827742207.341908,17841517836.825535
2022-12-01,3,18071089869.0,19119877419.564445,17318508764.25917
2023-01-01,3,15587939055.0,18467517308.597248,17815087996.570244
2023-02-01,3,16188265112.0,18217154009.229683,18108951516.058117
2023-03-01,3,18854384035.0,18194669996.860195,17568276662.913166
2023-04-01,3,14926679028.0,17472667742.81991,17968497921.498398
2023-05-01,3,17582537728.0,17596809644.583954,17931718751.476223
2023-06-01,3,17632184717.0,20527241176.767776,19397485248.883114
2023-07-01,3,17322727545.0,20082799832.33939,17674545272.192764
2023-08-01,3,16330912909.0,21795905058.93682,19057093824.10502
2023-09-01,3,17130679988.0,19182653791.42331,17528400284.845062
2023-10-01,3,16308621366.0,18221155937.94516,16658303644.824636
2023-11-01,3,15719830912.0,17521587758.818977,16095243885.636517
2023-12-01,3,16922530187.0,18606214806.4374,17222290953.23234
2024-01-01,3,15459241727.0,17556481793.991608,16224896498.01555
2024-02-01,3,12976621615.0,17375278273.702732,15928960317.838478
2024-03-01,3,18017207600.0,18414249635.048702,17287540631.271236
2024-04-01,3,15623948502.0,15887558518.20666,16424758785.108025
2024-05-01,3,17156929700.0,18232531371.470665,17836850827.97084
2024-06-01,3,19912255337.0,16754729271.475342,16581015749.84142
2024-07-01,3,18844751694.0,16369824160.15384,16128505394.82363
2024-08-01,3,17975867131.0,15781730189.169847,15826148695.90599
2024-09-01,3,23441488042.0,16061108165.415234,16438005600.743498
2024-10-01,3,19348491244.0,17353914068.379303,16869911860.83899
2024-11-01,3,18598094478.0,15624907581.607864,15747729265.920158
2024-12-01,3,21980718113.0,16404592091.964176,17049340113.85913
2025-01-01,3,,19121928461.406998,19423848439.116962
2025-02-01,3,,18190355833.105923,17724266518.157364
2025-03-01,3,,19194448012.098717,18899123862.076065
2025-04-01,3,,18180516280.079414,17611931444.774887
2025-05-01,3,,19725886563.813797,19941909004.721138
2025-06-01,3,,19190655122.93557,20255458237.72062
2025-07-01,3,,17793155248.02616,17827502343.056286
2025-08-01,3,,17559690673.24271,17749084192.87612
2025-09-01,3,,19527093551.236145,19906393747.587013
2025-10-01,3,,19633983658.18923,19200695753.80106
2025-11-01,3,,18809450470.64203,18927127172.046936
2025-12-01,3,,20666158769.776413,21205081977.414658
2026-01-01,3,,19175220363.914448,19629349505.867752
2026-02-01,3,,18081463497.75425,17745944574.23239
2026-03-01,3,,19505089032.38168,19249023948.07212
2026-04-01,3,,20136986448.36243,19949320290.03479
2026-05-01,3,,19723885325.271935,19922501807.55282
2026-06-01,3,,20630914017.47571,21059694320.152695
2026-07-01,3,,19516428858.08503,19964314239.54862
2026-08-01,3,,19966204235.273903,20391820468.220978
2026-09-01,3,,19757705566.823685,20322806660.237823
2026-10-01,3,,16385762474.861368,17833660025.20616
2026-11-01,3,,16324924613.961655,17886749953.412483
2026-12-01,3,,15901222733.18143,17675138723.238197
2012-07-01,6,13236516471.0,13355824895.944107,13326615621.063805
2012-08-01,6,13454126348.0,13462784588.7147,13456285771.249523
2012-09-01,6,13136362011.0,13172276070.26196,13188307362.266323
2012-10-01,6,13806343142.0,13768269033.950533,13604682239.55427
2012-11-01,6,12995830345.0,13067683798.26792,13035235579.278938
2012-12-01,6,12979986874.0,13070226010.320747,12978019613.858389
2013-01-01,6,13270087181.0,13219499138.44902,13052691553.035912
2013-02-01,6,12442104437.0,12430771199.98931,12395666540.087835
2013-03-01,6,13934248352.0,13963050192.08668,14042994413.464865
2013-04-01,6,13877522014.0,13480892804.538614,13601943191.96032
2013-05-01,6,14885665265.0,14407650189.449116,14273274266.09134
2013-06-01,6,14063161830.0,14103430006.733335,14084490044.396587
2013-07-01,6,14890811919.0,14951835373.716167,14855394222.669886
2013-08-01,6,14526726621.0,14537527401.258476,14480753838.035044
2013-09-01,6,15218483480.0,14854944904.709356,14606962363.263416
2013-10-01,6,15160724733.0,14952383261.24434,14700392632.89429
2013-11-01,6,13704923064.0,13722685856.162209,13706366177.58072
2013-12-01,6,13322370066.0,13325591411.861454,13245193374.666124
2014-01-01,6,12042272680.0,12228449616.721184,12167136965.73024
2014-02-01,6,12129411973.0,12299571092.759216,12298009731.214806
2014-03-01,6,13642635317.0,13690261845.315804,13649807969.235168
2014-04-01,6,14739015105.0,14737760136.90294,14758770614.64237
2014-05-01,6,14441958963.0,14491261179.09611,14474614037.28
2014-06-01,6,14131294655.0,14112908169.634333,14132677437.923676
2014-07-01,6,14115471456.0,14064924603.090973,14003086601.864706
2014-08-01,6,15314135510.0,15129846810.170069,15153668189.894484
2014-09-01,6,15311949482.0,15319105391.951357,15171402352.002209
2014-10-01,6,16135798066.0,15691222193.819798,15325609165.41046
2014-11-01,6,13401732288.0,13415569906.358934,13360998843.319332
2014-12-01,6,14489462174.0,14454186932.533115,14381834863.485218
2015-01-01,6,13320512109.0,13325722992.229576,13320164098.229769
2015-02-01,6,12147033380.0,12244512658.360388,12212039383.527657
2015-03-01,6,13640767734.0,13670856722.420628,13680344804.245625
2015-04-01,6,13846694397.0,13838227094.982653,13727728667.861244
2015-05-01,6,13586956224.0,13885297938.914717,13741400294.881912
2015-06-01,6,13610916537.0,13633392632.47049,13607325792.094795
2015-07-01,6,14322958353.0,14328449922.833391,14342312406.30545
2015-08-01,6,13125503297.0,13177112395.230556,13276753989.851768
2015-09-01,6,13861045488.0,13850504524.097528,13848946408.8143
2015-10-01,6,13554712255.0,13550718122.992342,13557012492.569668
2015-11-01,6,11855356229.0,12025408562.327642,12084877302.466124
2015-12-01,6,13581128076.0,13606881048.26846,13584326371.584543
2016-01-01,6,12456584762.0,12548182971.022224,12530241718.742483
2016-02-01,6,12005416664.0,12026373912.59102,12044200666.654804
2016-03-01,6,15882037156.0,15312468144.345646,14999517340.70257
2016-04-01,6,14256086284.0,14326334867.222778,14249697438.247704
2016-05-01,6,14436541054.0,14500581804.84906,14318373377.552938
2016-06-01,6,15024868444.0,14944207596.083988,14991110192.41674
2016-07-01,6,14551800842.0,14537077254.061031,14539363981.681995
2016-08-01,6,15153544611.0,14984334923.629932,14981312146.43344
2016-09-01,6,14511045046.0,14463020600.835789,14366452367.423813
2016-10-01,6,15428124242.0,15450640050.924477,15437851963.724314
2016-11-01,6,14306893703.0,14393993857.77833,14380795362.64849
2016-12-01,6,14995700048.0,14998893896.303816,15021300357.09012
2017-01-01,6,16015322383.0,15890805708.67174,15876813261.794024
2017-02-01,6,14640813035.0,14634692446.182348,14643721308.774157
2017-03-01,6,16666647849.0,16542723618.868196,16442689006.348822
2017-04-01,6,14313490890.0,14259558711.318188,14290896586.603256
2017-05-01,6,16206726644.0,16187593780.886871,16120950644.361883
2017-06-01,6,16221936802.0,16204542428.799238,16194866522.289877
2017-07-01,6,14538702735.0,14483522734.740831,14571091061.895905
2017-08-01,6,16321024221.0,16302535818.410255,16312598455.12595
2017-09-01,6,16528007735.0,16178181050.022903,15949063189.534737
2017-10-01,6,15792710618.0,15758207947.402876,15808597727.7788
2017-11-01,6,17919251284.0,17658981345.739075,17502334758.910664
2017-12-01,6,16555913336.0,16560747493.585833,16560896412.552654
2018-01-01,6,15792705183.0,15662355136.43938,15727233165.993517
2018-02-01,6,16027285171.0,16093915510.266706,16035759457.925425
2018-03-01,6,16269499964.0,16194701999.249002,16255101793.4048
2018-04-01,6,16735417807.0,16742992111.1543,16786991423.560392
2018-05-01,6,18659045468.0,17907579164.188774,18151523819.287075
2018-06-01,6,16734974592.0,16784186451.304638,16738069560.343914
2018-07-01,6,17091457368.0,16918403302.259014,17020354578.484793
2018-08-01,6,17662177999.0,16670290765.758104,16759028249.046066
2018-09-01,6,16163468299.0,15679252095.614046,16024921151.432348
2018-10-01,6,15018312664.0,15112225462.8996,15165945450.952452
2018-11-01,6,16089025644.0,16054606468.071257,15977598598.45619
2018-12-01,6,17686714202.0,17282242047.127983,17369945257.72334
2019-01-01,6,14564220624.0,14573627958.718096,14562998784.609425
2019-02-01,6,12938284687.0,12999610695.04991,12935557122.089462
2019-03-01,6,16715625564.0,16727854500.433104,16715240955.558722
2019-04-01,6,12718876580.0,12753820116.065208,12745526527.334034
2019-05-01,6,15572264308.0,15622924620.865002,15736295953.734936
2019-06-01,6,15266537991.0,15322863306.49487,15348975414.865065
2019-07-01,6,14621505917.0,14813843467.39595,14675355488.076609
2019-08-01,6,18700004068.0,18550885380.056168,18178410387.189365
2019-09-01,6,15128612959.0,15236193359.569147,15166490860.808306
2019-10-01,6,19059604038.0,17984144466.8791,18430292046.17968
2019-11-01,6,15102976816.0,15220221661.659004,15263108820.383053
2019-12-01,6,18128386618.0,17977738360.95498,17801414829.974655
2020-01-01,6,15394419240.0,15662239576.217085,16038755730.490591
2020-02-01,6,13340080769.0,14337794736.211325,15192446135.820189
2020-03-01,6,20069828156.0,15772266486.73318,16937374771.71918
2020-04-01,6,11712629059.0,15604008920.561802,16338295052.859596
2020-05-01,6,12871393722.0,16522877878.49334,17518504347.903206
2020-06-01,6,15320059641.0,15860554664.33094,16914943639.89443
2021-07-01,6,18948651730.0,14347054922.701792,14123302589.759968
2021-08-01,6,22797670023.0,14763814177.278622,14322120818.639256
2021-09-01,6,20690069970.0,15032488757.56837,15453381399.581656
2021-10-01,6,17404362145.0,15445778960.1729,15621509506.624825
2021-11-01,6,19612659252.0,14420717831.283772,14304645990.18044
2021-12-01,6,22838461230.0,16553962774.440426,17729145788.38844
2022-01-01,6,16825969850.0,15425439932.039448,16218275175.181644
2022-02-01,6,17926558167.0,15077913623.915531,16337669686.295015
2022-03-01,6,24345128144.0,16956555138.836235,18058949660.19165
2022-04-01,6,19283273155.0,17836910141.268024,18037398010.66045
2022-05-01,6,22462593594.0,16487108254.129305,16521227448.842026
2022-06-01,6,25382434138.0,16651798080.676617,19008328216.689663
2022-07-01,6,18078761012.0,17304516180.223625,16671445958.44128
2022-08-01,6,19109349191.0,15799501373.649143,15686883269.318075
2022-09-01,6,22912337265.0,17382568400.211136,16814008650.71042
2022-10-01,6,21731214143.0,17717305149.022526,16788813147.621723
