forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2019-10-01,1,19059604038,18315526825.310097,18868447757.653748,train_fitted_2010_2019
2019-11-01,1,15102976816,15114219472.867773,15209439813.196594,train_fitted_2010_2019
2019-12-01,1,18128386618,18029224107.148624,18118158185.595352,train_fitted_2010_2019
2020-01-01,1,15394419240,20384087062.115295,18536282121.869865,forecast_2020_plus
2021-02-01,1,14015649158,16081514826.362556,14983258517.05394,forecast_2020_plus
2021-03-01,1,23304825779,15661044979.288145,15410763910.812204,forecast_2020_plus
2021-04-01,1,17505916872,14964500059.419588,14871383093.413054,forecast_2020_plus
2021-05-01,1,20882183495,15433692414.648005,16905531403.319553,forecast_2020_plus
2021-06-01,1,21960801156,14295753704.104372,14774684425.107056,forecast_2020_plus
2021-07-01,1,18948651730,16283847486.688154,17764017840.38326,forecast_2020_plus
2021-08-01,1,22797670023,15647826814.255426,17837518263.31138,forecast_2020_plus
2021-09-01,1,20690069970,14910184572.679308,16430315429.37854,forecast_2020_plus
2021-10-01,1,17404362145,17122963749.374405,17405831157.35372,forecast_2020_plus
2021-11-01,1,19612659252,17263312971.96496,18074430280.87599,forecast_2020_plus
2021-12-01,1,22838461230,16518733507.723003,17660522168.237614,forecast_2020_plus
2022-01-01,1,16825969850,16306136570.724792,17205884304.81644,forecast_2020_plus
2022-02-01,1,17926558167,17815692712.820644,16614356192.232647,forecast_2020_plus
2022-03-01,1,24345128144,17562034654.948395,17026624663.357227,forecast_2020_plus
2022-04-01,1,19283273155,19305159885.402657,17883029744.1521,forecast_2020_plus
2022-05-01,1,22462593594,18251215493.19037,17045336715.232883,forecast_2020_plus
2022-06-01,1,25382434138,18964555461.099075,18068801565.755836,forecast_2020_plus
2022-07-01,1,18078761012,19673056400.064705,19226240041.198616,forecast_2020_plus
2022-08-01,1,19109349191,19121097103.124794,18719306440.599762,forecast_2020_plus
2022-09-01,1,22912337265,19551564801.258087,19415005647.45082,forecast_2020_plus
2022-10-01,1,21731214143,19276863518.987896,19072966365.808563,forecast_2020_plus
2022-11-01,1,18903201958,18688135881.942764,19212583645.386005,forecast_2020_plus
2022-12-01,1,18071089869,19100527455.386726,19229212324.820904,forecast_2020_plus
2023-01-01,1,15587939055,18847955976.18776,18198369919.85426,forecast_2020_plus
2023-02-01,1,16188265112,19282029270.975967,18789838102.65574,forecast_2020_plus
2023-03-01,1,18854384035,17293490212.309612,16856269886.613192,forecast_2020_plus
2023-04-01,1,14926679028,19180919525.086266,19433299104.93944,forecast_2020_plus
2023-05-01,1,17582537728,18883464777.562683,18714169649.781334,forecast_2020_plus
2023-06-01,1,17632184717,18611943638.137047,18409241666.518593,forecast_2020_plus
2023-07-01,1,17322727545,17894088961.31136,17395496478.223648,forecast_2020_plus
2023-08-01,1,16330912909,17113300250.051004,17033907879.657215,forecast_2020_plus
2023-09-01,1,17130679988,16782724742.842033,16874608730.27718,forecast_2020_plus
2023-10-01,1,16308621366,17747303170.42157,17472973324.128777,forecast_2020_plus
2023-11-01,1,15719830912,16376911923.131737,16375544317.779053,forecast_2020_plus
2023-12-01,1,16922530187,16509361151.668846,16513688809.426945,forecast_2020_plus
2024-01-01,1,15459241727,17045447610.529896,16872391937.275402,forecast_2020_plus
2024-02-01,1,12976621615,15269330334.641386,15503361674.646315,forecast_2020_plus
2024-03-01,1,18017207600,17522474807.76175,17317355675.80328,forecast_2020_plus
2024-04-01,1,15623948502,14329190065.033434,14525889814.131605,forecast_2020_plus
2024-05-01,1,17156929700,16178638146.213509,16168096164.080647,forecast_2020_plus
2024-06-01,1,19912255337,15854993323.80174,16466454858.91523,forecast_2020_plus
2024-07-01,1,18844751694,15340002292.56533,15367917187.10241,forecast_2020_plus
2024-08-01,1,17975867131,17003344785.571676,16995592412.269958,forecast_2020_plus
2024-09-01,1,23441488042,16266776689.209957,16053672479.674854,forecast_2020_plus
2024-10-01,1,19348491244,15635577882.09431,15638497681.62822,forecast_2020_plus
2024-11-01,1,18598094478,17884387008.463615,17231867119.33179,forecast_2020_plus
2024-12-01,1,21980718113,16823636986.589706,16277110622.612514,forecast_2020_plus
