forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,module1_q50_calibrated
2016-08-01,1,15153544611.0,15141890419.344408,15122761390.01629,19002131688.127316
2016-09-01,1,14511045046.0,14217363172.117996,14183127111.58574,18997345822.82356
2016-10-01,1,15428124242.0,15398562495.335464,15298270696.888475,19003025614.542652
2016-11-01,1,14306893703.0,14447401774.019342,14332892583.461248,18998108627.45085
2016-12-01,1,14995700048.0,15005381652.51698,15008247493.84827,19001548431.32725
2017-01-01,1,16015322383.0,15683140740.14564,15985541402.35345,19006526109.46826
2017-02-01,1,14640813035.0,14644643732.27608,14635323844.035858,18999649008.96947
2017-03-01,1,16666647849.0,16300884082.378134,16454460651.486288,19008914468.871704
2017-04-01,1,14313490890.0,14007653664.002975,14080251618.87976,18996821844.2263
2017-05-01,1,16206726644.0,16130120754.347818,16065511134.093472,19006933421.518566
2017-06-01,1,16221936802.0,16156695917.797316,16187203358.73375,19007553239.897923
2017-07-01,1,14538702735.0,14750329881.42111,14607458189.62894,18999507080.059834
2017-08-01,1,16321024221.0,16362506192.745138,16327929779.349998,19008270005.675
2017-09-01,1,16528007735.0,16557368611.272682,16558375793.751495,19009443742.74487
2017-10-01,1,15792710618.0,15786191980.944565,15772104913.45184,19005439007.485886
2017-11-01,1,17919251284.0,17548715090.734596,17692748688.606205,19015221475.63907
2017-12-01,1,16555913336.0,16529583939.365875,16550976689.88658,19009406056.684155
2018-01-01,1,15792705183.0,15762872540.291697,15784782731.1904,19005503579.766224
2018-02-01,1,16027285171.0,16046030626.336128,16138022962.439522,19007302748.02289
2018-03-01,1,16269499964.0,16222287329.157627,16169346160.64997,19007462287.33617
2018-04-01,1,16735417807.0,16734275315.634308,16751333912.516594,19010426541.677258
2018-05-01,1,18659045468.0,17369670916.93091,17568728908.37378,19014589802.256332
2018-06-01,1,16734974592.0,16711442930.051577,16752618778.591408,19010433085.921234
2018-07-01,1,17091457368.0,17140320435.788897,17165742819.29255,19012537262.043716
2018-08-01,1,17662177999.0,17018963428.674397,17399449786.606613,19013727608.2154
2018-09-01,1,16163468299.0,16076697536.707968,16113315655.779518,19007176905.61334
2018-10-01,1,15018312664.0,14865507030.617409,14860623877.063702,19000796535.869835
2018-11-01,1,16089025644.0,16092505576.28214,16078111756.817766,19006997600.6194
2018-12-01,1,17686714202.0,17413670820.030064,17213891989.644264,19012782501.547085
2019-01-01,1,14564220624.0,14731034204.969692,14655782813.374231,18999753213.204834
2019-02-01,1,12938284687.0,12952969048.409538,12970282773.084732,18991168409.15131
2019-03-01,1,16715625564.0,16759554588.505053,16795107310.078716,19010649493.93584
2019-04-01,1,12718876580.0,12932002129.740711,12786645346.984632,18990233083.56111
2019-05-01,1,15572264308.0,15585306992.0634,15630811620.610268,19004719354.442795
2019-06-01,1,15266537991.0,15296271998.050167,15298043276.24792,19003024456.2148
2019-07-01,1,14621505917.0,14667301673.942944,14712372904.027628,19000041445.08144
2019-08-01,1,18700004068.0,16866738658.558498,16835847599.07241,19010856997.578518
2019-09-01,1,15128612959.0,15109511478.287434,15147543260.155727,19002257910.3131
2019-10-01,1,19059604038.0,18315526825.310097,18868447757.653748,19021209696.28127
2019-11-01,1,15102976816.0,15114219472.867771,15209439813.196594,19002573169.741604
2019-12-01,1,18128386618.0,18029224107.148624,18118158185.595352,19017388225.616444
2020-01-01,1,15394419240.0,20384087062.115295,18536282121.869865,19019517867.845577
2021-02-01,1,14015649158.0,16081514826.362556,14983258517.05394,19001421154.2794
2021-03-01,1,23304825779.0,15661044979.288143,15410763910.812204,19003598579.345856
2021-04-01,1,17505916872.0,14964500059.419588,14871383093.413054,19000851336.08456
2021-05-01,1,20882183495.0,15433692414.648005,16905531403.319551,19011211920.029346
2021-06-01,1,21960801156.0,14295753704.104372,14774684425.107056,19000358818.07815
2021-07-01,1,18948651730.0,16283847486.688154,17764017840.38326,19015584472.784393
2021-08-01,1,22797670023.0,15647826814.255426,17837518263.31138,19015958834.52489
2021-09-01,1,20690069970.0,14910184572.679308,16430315429.37854,19008791489.34298
2021-10-01,1,17404362145.0,17122963749.374405,17405831157.35372,19013760110.62783
2021-11-01,1,19612659252.0,17263312971.96496,18074430280.87599,19017165505.067814
2021-12-01,1,22838461230.0,16518733507.723003,17660522168.237614,19015057335.41001
2022-01-01,1,16825969850.0,16306136570.724792,17205884304.81644,19012741715.784092
2022-02-01,1,17926558167.0,17815692712.820644,16614356192.232649,19009728869.25944
2022-03-01,1,24345128144.0,17562034654.948395,17026624663.357227,19011828687.685696
2022-04-01,1,19283273155.0,19305159885.402657,17883029744.1521,19016190639.411194
2022-05-01,1,22462593594.0,18251215493.19037,17045336715.232883,19011923994.297947
2022-06-01,1,25382434138.0,18964555461.099075,18068801565.755836,19017136836.177147
2022-07-01,1,18078761012.0,19673056400.064705,19226240041.198616,19023032049.632008
2022-08-01,1,19109349191.0,19121097103.12479,18719306440.59976,19020450070.67902
2022-09-01,1,22912337265.0,19551564801.258087,19415005647.45082,19023993494.72426
2022-10-01,1,21731214143.0,19276863518.987896,19072966365.808563,19022251376.57456
2022-11-01,1,18903201958.0,18688135881.942764,19212583645.386005,19022962493.132854
2022-12-01,1,18071089869.0,19100527455.386726,19229212324.820904,19023047188.446533
2023-01-01,1,15587939055.0,18847955976.18776,18198369919.85426,19017796770.264885
2023-02-01,1,16188265112.0,19282029270.975967,18789838102.65574,19020809311.547516
2023-03-01,1,18854384035.0,17293490212.309612,16856269886.613192,19010961014.98147
2023-04-01,1,14926679028.0,19180919525.086266,19433299104.93944,19024086669.298122
2023-05-01,1,17582537728.0,18883464777.562683,18714169649.781338,19020423907.320026
2023-06-01,1,17632184717.0,18611943638.137047,18409241666.518593,19018870809.174564
2023-07-01,1,17322727545.0,17894088961.31136,17395496478.223648,19013707472.720284
2023-08-01,1,16330912909.0,17113300250.051004,17033907879.657215,19011865783.493065
2023-09-01,1,17130679988.0,16782724742.842031,16874608730.27718,19011054420.721996
2023-10-01,1,16308621366.0,17747303170.42157,17472973324.128777,19014102087.6861
2023-11-01,1,15719830912.0,16376911923.131737,16375544317.779053,19008512522.122784
2023-12-01,1,16922530187.0,16509361151.668846,16513688809.426945,19009216137.289516
2024-01-01,1,15459241727.0,17045447610.529896,16872391937.275402,19011043129.868782
2024-02-01,1,12976621615.0,15269330334.641386,15503361674.646317,19004070210.1019
2024-03-01,1,18017207600.0,17522474807.76175,17317355675.80328,19013309476.006355
2024-04-01,1,15623948502.0,14329190065.033434,14525889814.131603,18999091625.592987
2024-05-01,1,17156929700.0,16178638146.213509,16168096164.080648,19007455920.69401
2024-06-01,1,19912255337.0,15854993323.80174,16466454858.91523,19008975559.300713
2024-07-01,1,18844751694.0,15340002292.56533,15367917187.10241,19003380346.94088
2024-08-01,1,17975867131.0,17003344785.571676,16995592412.269958,19011670630.261456
2024-09-01,1,23441488042.0,16266776689.209955,16053672479.674854,19006873123.372017
2024-10-01,1,19348491244.0,15635577882.09431,15638497681.62822,19004758502.070328
2024-11-01,1,18598094478.0,17884387008.463615,17231867119.33179,19012874054.77314
2024-12-01,1,21980718113.0,16823636986.589706,16277110622.612514,19008011167.055996
2025-01-01,1,19274866754.0,18247067334.67965,17757507161.96335,19015551311.765614
2025-02-01,1,15605625706.0,16384660731.135977,17220781926.889576,19012817594.25535
2025-03-01,1,21265670708.0,21724385848.65982,20874661380.604187,19031427999.711025
2025-04-01,1,16856528907.0,17017836734.13824,16537651670.256046,19009338187.99249
2025-05-01,1,17505528207.0,17811027474.95902,17531466047.695484,19014400010.295635
2025-06-01,1,20406895230.0,19071745729.216785,18645475438.7659,19020074025.191826
2025-07-01,1,16865172291.0,18329531068.279938,17352945434.401596,19013490746.30987
2025-08-01,1,16285611991.0,17722024715.958454,18089587619.96208,19017242706.36293
2025-09-01,1,19071771243.0,20396181080.764347,20958696457.832565,19031856017.89814
2025-10-01,1,18319747459.0,18295173831.97861,18119645431.755127,19017395800.648514
2025-11-01,1,22540004569.0,18675736171.6106,18700328836.858517,19020353411.524094
2025-12-01,1,26263259891.0,21083421294.995216,20985999659.488964,19031995082.051598
2026-01-01,1,,18021581631.98618,17168068785.045765,19012549108.949528
