forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,module1_q50_scaled
2017-04-01,1,14313490890.0,14007653664.002975,14080251618.87976,15288525398.662199
2017-05-01,1,16206726644.0,16130120754.347818,16065511134.093472,17444146714.44771
2017-06-01,1,16221936802.0,16156695917.797316,16187203358.73375,17576281758.450607
2017-07-01,1,14538702735.0,14750329881.42111,14607458189.62894,15860973339.60899
2017-08-01,1,16321024221.0,16362506192.745138,16327929779.349998,17729084386.847496
2017-09-01,1,16528007735.0,16557368611.272682,16558375793.751495,17979305749.331787
2017-10-01,1,15792710618.0,15786191980.944565,15772104913.45184,17125562318.52752
2017-11-01,1,17919251284.0,17548715090.734596,17692748688.606205,19211023000.129044
2017-12-01,1,16555913336.0,16529583939.365875,16550976689.88658,17971271703.46187
2018-01-01,1,15792705183.0,15762872540.291697,15784782731.1904,17139328062.474571
2018-02-01,1,16027285171.0,16046030626.336128,16138022962.439522,17522881026.82928
2018-03-01,1,16269499964.0,16222287329.157627,16169346160.64997,17556892174.099236
2018-04-01,1,16735417807.0,16734275315.634308,16751333912.516594,18188822253.686203
2018-05-01,1,18659045468.0,17369670916.93091,17568728908.37378,19076360665.155033
2018-06-01,1,16734974592.0,16711442930.051577,16752618778.591408,18190217378.44323
2018-07-01,1,17091457368.0,17140320435.788897,17165742819.29255,18638792983.48344
2018-08-01,1,17662177999.0,17018963428.674397,17399449786.606613,18892555132.22476
2018-09-01,1,16163468299.0,16076697536.707968,16113315655.779518,17496053503.030098
2018-10-01,1,15018312664.0,14865507030.617409,14860623877.063702,16135864026.734655
2018-11-01,1,16089025644.0,16092505576.28214,16078111756.817766,17457828639.016514
2018-12-01,1,17686714202.0,17413670820.030064,17213891989.644264,18691073996.193443
2019-01-01,1,14564220624.0,14731034204.969692,14655782813.374231,15913444861.958778
2019-02-01,1,12938284687.0,12952969048.409538,12970282773.084732,14083306390.50848
2019-03-01,1,16715625564.0,16759554588.505053,16795107310.078716,18236351993.81648
2019-04-01,1,12718876580.0,12932002129.740711,12786645346.984632,13883910418.826286
2019-05-01,1,15572264308.0,15585306992.0634,15630811620.610268,16972144172.691795
2019-06-01,1,15266537991.0,15296271998.050167,15298043276.24792,16610819856.73761
2019-07-01,1,14621505917.0,14667301673.942944,14712372904.027628,15974891138.750235
2019-08-01,1,18700004068.0,16866738658.558498,16835847599.07241,18280588344.123867
2019-09-01,1,15128612959.0,15109511478.287434,15147543260.155727,16447404927.743067
2019-10-01,1,19059604038.0,18315526825.310097,18868447757.653748,20487612763.213615
2019-11-01,1,15102976816.0,15114219472.867771,15209439813.196594,16514613032.318844
2019-12-01,1,18128386618.0,18029224107.148624,18118158185.595352,19672938317.80915
2020-01-01,1,15394419240.0,20384087062.115295,18536282121.869865,20126942876.289486
2021-02-01,1,14015649158.0,16081514826.362556,14983258517.05394,16269022357.920483
2021-03-01,1,23304825779.0,15661044979.288143,15410763910.812204,16733213428.325396
2021-04-01,1,17505916872.0,14964500059.419588,14871383093.413054,16147546527.650066
2021-05-01,1,20882183495.0,15433692414.648005,16905531403.319551,18356251950.140633
2021-06-01,1,21960801156.0,14295753704.104372,14774684425.107056,16042549821.168575
2021-07-01,1,18948651730.0,16283847486.688154,17764017840.38326,19288407997.682896
2021-08-01,1,22797670023.0,15647826814.255426,17837518263.31138,19368215739.27483
2021-09-01,1,20690069970.0,14910184572.679308,16430315429.37854,17840256094.093197
2021-10-01,1,17404362145.0,17122963749.374405,17405831157.35372,18899484109.87276
2021-11-01,1,19612659252.0,17263312971.96496,18074430280.87599,19625457974.415585
2021-12-01,1,22838461230.0,16518733507.723003,17660522168.237614,19176031013.58634
2022-01-01,1,16825969850.0,16306136570.724792,17205884304.81644,18682379144.979954
2022-02-01,1,17926558167.0,17815692712.820644,16614356192.232649,18040090014.213726
2022-03-01,1,24345128144.0,17562034654.948395,17026624663.357227,18487736630.37251
2022-04-01,1,19283273155.0,19305159885.402657,17883029744.1521,19417632713.459515
2022-05-01,1,22462593594.0,18251215493.19037,17045336715.232883,18508054426.39673
2022-06-01,1,25382434138.0,18964555461.099075,18068801565.755836,19619346240.30702
2022-07-01,1,18078761012.0,19673056400.064705,19226240041.198616,20876108406.791912
2022-08-01,1,19109349191.0,19121097103.12479,18719306440.59976,20325673127.794567
2022-09-01,1,22912337265.0,19551564801.258087,19415005647.45082,21081072625.02442
2022-10-01,1,21731214143.0,19276863518.987896,19072966365.808563,20709681801.460155
2022-11-01,1,18903201958.0,18688135881.942764,19212583645.386005,20861280109.692783
2022-12-01,1,18071089869.0,19100527455.386726,19229212324.820904,20879335752.07532
2023-01-01,1,15587939055.0,18847955976.18776,18198369919.85426,19760033290.9447
2023-02-01,1,16188265112.0,19282029270.975967,18789838102.65574,20402257349.15229
2023-03-01,1,18854384035.0,17293490212.309612,16856269886.613192,18302763136.891586
2023-04-01,1,14926679028.0,19180919525.086266,19433299104.93944,21100935905.668434
2023-05-01,1,17582537728.0,18883464777.562683,18714169649.781338,20320095531.667683
2023-06-01,1,17632184717.0,18611943638.137047,18409241666.518593,19989000651.898323
2023-07-01,1,17322727545.0,17894088961.31136,17395496478.223648,18888262577.144234
2023-08-01,1,16330912909.0,17113300250.051004,17033907879.657215,18495644843.97553
2023-09-01,1,17130679988.0,16782724742.842031,16874608730.27718,18322675698.451427
2023-10-01,1,16308621366.0,17747303170.42157,17472973324.128777,18972387971.951847
2023-11-01,1,15719830912.0,16376911923.131737,16375544317.779053,17780784889.0702
2023-12-01,1,16922530187.0,16509361151.668846,16513688809.426945,17930784024.48424
2024-01-01,1,15459241727.0,17045447610.529896,16872391937.275402,18320268674.98135
2024-02-01,1,12976621615.0,15269330334.641386,15503361674.646317,16833757317.920301
2024-03-01,1,18017207600.0,17522474807.76175,17317355675.80328,18803416249.478203
2024-04-01,1,15623948502.0,14329190065.033434,14525889814.131603,15772405307.284447
2024-05-01,1,17156929700.0,16178638146.213509,16168096164.080648,17555534911.117325
2024-06-01,1,19912255337.0,15854993323.80174,16466454858.91523,17879496769.70896
2024-07-01,1,18844751694.0,15340002292.56533,15367917187.10241,16686689883.04952
2024-08-01,1,17975867131.0,17003344785.571676,16995592412.269958,18454041397.377583
2024-09-01,1,23441488042.0,16266776689.209955,16053672479.674854,17431292145.249363
2024-10-01,1,19348491244.0,15635577882.09431,15638497681.62822,16980489800.473833
2024-11-01,1,18598094478.0,17884387008.463615,17231867119.33179,18710591632.25639
2024-12-01,1,21980718113.0,16823636986.589706,16277110622.612514,17673904267.23388
2025-01-01,1,19274866754.0,18247067334.67965,17757507161.96335,19281338616.035492
2025-02-01,1,15605625706.0,16384660731.135977,17220781926.889576,18698555182.142487
2025-03-01,1,21265670708.0,21724385848.65982,20874661380.604187,22665986329.243694
2025-04-01,1,16856528907.0,17017836734.13824,16537651670.256046,17956803219.050274
2025-05-01,1,17505528207.0,17811027474.95902,17531466047.695484,19035900152.99039
2025-06-01,1,20406895230.0,19071745729.216785,18645475438.7659,20245506439.2084
2025-07-01,1,16865172291.0,18329531068.279938,17352945434.401596,18842060085.042408
2025-08-01,1,16285611991.0,17722024715.958454,18089587619.96208,19641916015.78205
2025-09-01,1,19071771243.0,20396181080.764347,20958696457.832565,22757232739.27673
2025-10-01,1,18319747459.0,18295173831.97861,18119645431.755127,19674553189.56736
2025-11-01,1,22540004569.0,18675736171.6106,18700328836.858517,20305066992.00544
2025-12-01,1,26263259891.0,21083421294.995216,20985999659.488964,22786878920.55867
2026-01-01,1,,18021581631.98618,17168068785.045765,18641318548.186188
2026-02-01,1,,18348725696.85559,18617527998.5728,20215160735.11268
2026-03-01,1,,20622423579.001053,21062823622.97786,22870295406.91258
2026-04-01,1,,19408594655.372723,17748460961.309433,19271516130.457653
2026-05-01,1,,19230945946.026672,18906782344.367367,20529236969.831665
2026-06-01,1,,18798318559.130062,18475487963.274773,20060931766.337082
2026-07-01,1,,18026413534.830215,17608315501.942883,19119344317.55058
2026-08-01,1,,16280177831.295406,16455874294.630732,17868008251.59336
2026-09-01,1,,16279034380.085876,16462596613.358686,17875307435.115936
2026-10-01,1,,15485047719.62738,15755509616.685976,17107542923.493196
2026-11-01,1,,16114786495.20654,16264771896.71056,17660506713.735172
2026-12-01,1,,16301639246.468632,16148838039.951689,17534624182.541893
2012-04-01,3,12508837271.0,12523925840.799503,12555165059.38144,14024964049.623291
2012-05-01,3,13638829321.0,13595562258.63301,13646262311.991756,15243793086.925995
2012-06-01,3,13691511869.0,13594383006.705233,13664725018.986732,15264417172.761473
2012-07-01,3,13236516471.0,13233739974.108805,13231823795.39249,14780837381.557493
2012-08-01,3,13454126348.0,13500639665.926262,13454994589.536198,15030134172.956713
2012-09-01,3,13136362011.0,13131862919.927052,13138103549.37959,14676145561.51084
2012-10-01,3,13806343142.0,12998703818.619144,13126260011.484385,14662915532.879995
2012-11-01,3,12995830345.0,13064055499.887146,12918395045.220238,14430716380.957859
2012-12-01,3,12979986874.0,13007592810.697914,13111390836.797005,14646305664.39545
2013-01-01,3,13270087181.0,13114764630.41734,13286829511.52938,14842282467.12148
2013-02-01,3,12442104437.0,12536652231.846956,12504956400.2198,13968877599.433964
2013-03-01,3,13934248352.0,13548329789.401472,13782315746.340958,15395773926.409227
2013-04-01,3,13877522014.0,13826036661.726671,13891216009.881966,15517422847.306202
2013-05-01,3,14885665265.0,14506770052.127443,14133125627.818075,15787652165.58003
2013-06-01,3,14063161830.0,14102255603.9313,14089448932.093016,15738862358.002584
2013-07-01,3,14890811919.0,14531122431.23808,14248299395.545412,15916309012.7179
2013-08-01,3,14526726621.0,14665010204.783491,14508537686.317638,16207012691.654297
2013-09-01,3,15218483480.0,14892448816.930964,14880469439.137917,16622485482.139042
2013-10-01,3,15160724733.0,15068391163.369192,15170915766.755306,16946933570.548298
2013-11-01,3,13704923064.0,13563575545.229904,13476335984.144142,15053973946.526363
2013-12-01,3,13322370066.0,13385421045.94209,13273802877.263256,14827730840.248724
2014-01-01,3,12042272680.0,12444133081.246616,12285591323.997007,13723832050.991041
2014-02-01,3,12129411973.0,12216551297.651705,12286518233.203987,13724867470.935238
2014-03-01,3,13642635317.0,13645430971.409067,13648560429.011606,15246360238.248402
2014-04-01,3,14739015105.0,14677046199.714256,14737749431.668476,16463057631.971098
2014-05-01,3,14441958963.0,14575116640.984592,14618260995.82393,16329581010.266848
2014-06-01,3,14131294655.0,14129862305.712698,14143985564.826223,15799783445.845966
2014-07-01,3,14115471456.0,14242818506.105104,14065457725.342133,15712062565.99692
2014-08-01,3,15314135510.0,15169390992.81974,14907292269.079489,16652448387.752825
2014-09-01,3,15311949482.0,15312279521.93667,15286154121.620968,17075662565.86493
2014-10-01,3,16135798066.0,15564325118.10355,15752945914.38927,17597100402.904182
2014-11-01,3,13401732288.0,13508889904.455685,13553262251.544468,15139905762.608313
2014-12-01,3,14489462174.0,14476363938.800434,14483981458.46054,16179581733.059864
2015-01-01,3,13320512109.0,13573421343.588367,13314594701.537483,14873298052.32907
2015-02-01,3,12147033380.0,12242809140.246012,12275543253.894386,13712607680.678837
2015-03-01,3,13640767734.0,13678145065.000622,13598770500.30234,15190741538.145452
2015-04-01,3,13846694397.0,13845142108.262512,13812140717.315935,15429090425.533432
2015-05-01,3,13586956224.0,13604543669.334734,13573438027.812054,15162443462.072063
2015-06-01,3,13610916537.0,13629361056.49205,13735601691.57318,15343591184.435583
2015-07-01,3,14322958353.0,14328403744.437351,14322424539.291023,15999111785.225342
2015-08-01,3,13125503297.0,13126870636.249348,13141427790.62028,14679858962.622849
2015-09-01,3,13861045488.0,13857073146.677069,13858363490.239107,15480724372.634508
2015-10-01,3,13554712255.0,13638035111.690315,13607461616.592876,15200450099.757296
2015-11-01,3,11855356229.0,11907841244.53857,11975104412.652864,13376997282.28154
2015-12-01,3,13581128076.0,13573059939.167015,13585514747.291384,15175933970.220217
2016-01-01,3,12456584762.0,12458194110.728855,12489727262.97514,13951865628.555609
2016-02-01,3,12005416664.0,12020539690.354242,12057096334.829609,13468587775.5526
2016-03-01,3,15882037156.0,14891071027.74492,14973078416.59167,16725935940.441917
2016-04-01,3,14256086284.0,13810827087.788136,13969376718.475838,15604733617.25128
2016-05-01,3,14436541054.0,13955933420.733446,14104907728.202335,15756130873.283604
2016-06-01,3,15024868444.0,14850577538.358646,14968151577.991796,16720432330.26119
2016-07-01,3,14551800842.0,14667961273.408487,14562971793.106112,16267819251.119736
2016-08-01,3,15153544611.0,15165696926.204786,15302687629.327158,17094131606.303408
2016-09-01,3,14511045046.0,14370603896.110815,14380797127.724836,16064317893.659254
2016-10-01,3,15428124242.0,15197420279.899109,15093908303.714,16860911053.472746
2016-11-01,3,14306893703.0,14305395265.02325,14289739141.158056,15962599996.523691
2016-12-01,3,14995700048.0,15036249998.94095,14976677686.988176,16729956567.624207
2017-01-01,3,16015322383.0,15683795558.423136,15658781910.621284,17491912875.59025
2017-02-01,3,14640813035.0,14658143873.34851,14691464564.680534,16411354321.622149
2017-03-01,3,16666647849.0,16621079110.451609,16673959605.833162,18625934659.6119
2017-04-01,3,14313490890.0,14165884739.790169,14195216674.89856,15857012042.490335
2017-05-01,3,16206726644.0,15695283484.9481,15743142026.704412,17586148800.780563
2017-06-01,3,16221936802.0,15884229960.402683,15582687961.331123,17406910814.833515
2017-07-01,3,14538702735.0,14400680462.153517,14539363870.761108,16241447613.5818
2017-08-01,3,16321024221.0,16036832993.09386,15800263557.457443,17649957393.61719
2017-09-01,3,16528007735.0,16520902384.383366,16518973909.777128,18452805210.089645
2017-10-01,3,15792710618.0,15776691633.22447,15773910045.159063,17620518747.385303
2017-11-01,3,17919251284.0,17682648739.188236,17716385244.19957,19790394229.306698
2017-12-01,3,16555913336.0,16557553476.63249,16560583630.812338,18499286067.87794
2018-01-01,3,15792705183.0,15781610395.318497,15766181711.52832,17611885678.77792
2018-02-01,3,16027285171.0,16124925002.650724,16096742456.731655,17981144270.42258
2018-03-01,3,16269499964.0,16308547263.533571,16274341268.640568,18179534091.703117
2018-04-01,3,16735417807.0,16739871488.144367,16747075683.243498,18707610237.135525
2018-05-01,3,18659045468.0,17920569831.308006,17903526568.258274,19999443678.653526
2018-06-01,3,16734974592.0,16588595774.624533,16715082975.059872,18671872229.709637
2018-07-01,3,17091457368.0,16300736567.808878,16558213770.988775,18496638775.01712
2018-08-01,3,17662177999.0,17109344503.136898,17017312091.851822,19009482486.341763
2018-09-01,3,16163468299.0,16109189182.095093,16114175263.392658,18000617888.29604
2018-10-01,3,15018312664.0,15059472360.079033,15015162334.8681,16772946508.45139
2018-11-01,3,16089025644.0,16083233023.512447,16191500310.013453,18086995167.596066
2018-12-01,3,17686714202.0,17366736442.46658,17329503251.309395,19358221014.851273
2019-01-01,3,14564220624.0,14587371324.922209,14577521431.637548,16284072176.220545
2019-02-01,3,12938284687.0,12982678865.805378,13067854752.885475,14597672929.673708
2019-03-01,3,16715625564.0,16630281863.024536,16874031867.594995,18849428836.332405
2019-04-01,3,12718876580.0,12739598960.238585,12720135210.133871,14209246806.76912
2019-05-01,3,15572264308.0,15665743929.87932,15585773388.300034,17410357444.337154
2019-06-01,3,15266537991.0,15410965325.124723,15268375483.850813,17055802631.375944
2019-07-01,3,14621505917.0,14988391578.217628,14714302327.091587,16436865638.69954
2019-08-01,3,18700004068.0,18212012275.13803,17765874771.473938,19845677360.79665
2019-09-01,3,15128612959.0,15226095069.772243,15135875675.88012,16907791431.63609
2019-10-01,3,19059604038.0,17184787284.51391,17402633800.93708,19439912758.81533
2019-11-01,3,15102976816.0,15234700923.53128,15201692192.764618,16981312908.957232
2019-12-01,3,18128386618.0,17496407179.370026,17862056848.136864,19953119211.304836
2020-01-01,3,15394419240.0,16495434411.56752,16249523899.16274,18151811420.34941
2020-02-01,3,13340080769.0,15396068359.563969,15298935837.621067,17089940602.557081
2020-03-01,3,20069828156.0,16550376828.730053,16475850907.661802,18404633915.525314
2021-04-01,3,17505916872.0,16080997616.642262,15975507957.52595,17845717178.473392
2021-05-01,3,20882183495.0,14803987184.74302,14542507579.25271,16244959347.467312
2021-06-01,3,21960801156.0,15471730574.976692,15003801509.650108,16760255702.356625
2021-07-01,3,18948651730.0,16702674265.44759,17859271499.527386,19950007789.517162
2021-08-01,3,22797670023.0,14613009710.535534,14933105726.662966,16681283756.534712
2021-09-01,3,20690069970.0,16711115754.797592,16856690297.440607,18830057135.774986
2021-10-01,3,17404362145.0,15091977042.557089,16287148014.601322,18193840088.545273
2021-11-01,3,19612659252.0,16151851788.252594,16545362635.183418,18482283191.732113
2021-12-01,3,22838461230.0,16793885090.138647,16169714210.981876,18062658629.266678
2022-01-01,3,16825969850.0,15945222989.142204,16267716770.285698,18172134081.362
2022-02-01,3,17926558167.0,15610481142.805365,15654517339.82898,17487149063.1062
2022-03-01,3,24345128144.0,15954726034.117298,16649906563.217064,18599065792.784634
2022-04-01,3,19283273155.0,16860360005.78832,16731476790.410685,18690185224.389027
2022-05-01,3,22462593594.0,19066101623.803436,16783010644.458645,18747752006.421978
2022-06-01,3,25382434138.0,16799920055.329128,17495696399.633274,19543869942.56445
2022-07-01,3,18078761012.0,18026525523.17041,17114983987.755432,19118588565.17289
2022-08-01,3,19109349191.0,18644799107.803345,18666900160.872353,20852183339.35948
2022-09-01,3,22912337265.0,19037875270.261803,17202145151.110153,19215953448.612625
2022-10-01,3,21731214143.0,17253851280.812084,17422103624.81206,19461661861.961933
2022-11-01,3,18903201958.0,18827742207.341908,17841517836.825535,19930175753.85973
2022-12-01,3,18071089869.0,19119877419.564445,17318508764.25917,19345939433.136166
2023-01-01,3,15587939055.0,18467517308.597248,17815087996.570244,19900651844.16483
2023-02-01,3,16188265112.0,18217154009.229683,18108951516.058117,20228917165.793045
2023-03-01,3,18854384035.0,18194669996.860195,17568276662.913166,19624946979.65621
2023-04-01,3,14926679028.0,17472667742.81991,17968497921.498398,20072021051.32353
2023-05-01,3,17582537728.0,17596809644.583954,17931718751.476223,20030936244.003487
2023-06-01,3,17632184717.0,20527241176.767776,19397485248.883114,21668296034.49968
2023-07-01,3,17322727545.0,20082799832.33939,17674545272.192764,19743656165.692455
2023-08-01,3,16330912909.0,21795905058.93682,19057093824.10502,21288055912.38789
2023-09-01,3,17130679988.0,19182653791.42331,17528400284.845062,19580402382.576904
2023-10-01,3,16308621366.0,18221155937.94516,16658303644.824636,18608445897.873734
2023-11-01,3,15719830912.0,17521587758.818977,16095243885.636517,17979470265.68941
2023-12-01,3,16922530187.0,18606214806.4374,17222290953.23234,19238457664.93939
2024-01-01,3,15459241727.0,17556481793.991608,16224896498.01555,18124300956.401596
2024-02-01,3,12976621615.0,17375278273.702732,15928960317.838478,17793720333.340416
2024-03-01,3,18017207600.0,18414249635.048702,17287540631.271236,19311345945.13457
2024-04-01,3,15623948502.0,15887558518.20666,16424758785.108025,18347560577.28989
2024-05-01,3,17156929700.0,18232531371.470665,17836850827.97084,19924962390.985027
2024-06-01,3,19912255337.0,16754729271.475342,16581015749.84142,18522110119.452347
2024-07-01,3,18844751694.0,16369824160.15384,16128505394.82363,18016625609.197773
2024-08-01,3,17975867131.0,15781730189.169847,15826148695.90599,17678872834.74786
2024-09-01,3,23441488042.0,16061108165.415234,16438005600.743498,18362358161.56543
2024-10-01,3,19348491244.0,17353914068.379303,16869911860.83899,18844826511.60279
2024-11-01,3,18598094478.0,15624907581.607864,15747729265.920158,17591273055.60187
2024-12-01,3,21980718113.0,16404592091.964176,17049340113.85913,19045259941.68453
2025-01-01,3,19274866754.0,19121928461.407,19423848439.11696,21697745491.636585
2025-02-01,3,15605625706.0,18190355833.105923,17724266518.157364,19799198142.548817
2025-03-01,3,21265670708.0,19194448012.098717,18899123862.076065,21111592837.000366
2025-04-01,3,16856528907.0,18180516280.079414,17611931444.774887,19673712307.974003
2025-05-01,3,17505528207.0,19725886563.813797,19941909004.721134,22276453997.160927
2025-06-01,3,20406895230.0,19190655122.93557,20255458237.72062,22626709585.18435
2025-07-01,3,16865172291.0,17793155248.02616,17827502343.056286,19914519504.39413
2025-08-01,3,16285611991.0,17559690673.24271,17749084192.87612,19826921154.87718
2025-09-01,3,19071771243.0,19527093551.236145,19906393747.587013,22236781065.56956
2025-10-01,3,18319747459.0,19633983658.18923,19200695753.80106,21448468929.016342
2025-11-01,3,22540004569.0,18809450470.64203,18927127172.046936,21142874418.22645
2025-12-01,3,26263259891.0,20666158769.776413,21205081977.414658,23687503190.595848
2026-01-01,3,,19175220363.914448,19629349505.867752,21927304008.7654
2026-02-01,3,,18081463497.75425,17745944574.23239,19823413989.626892
2026-03-01,3,,19505089032.38168,19249023948.07212,21502454773.41019
2026-04-01,3,,20136986448.36243,19949320290.03479,22284732901.467953
2026-05-01,3,,19723885325.271935,19922501807.55282,22254774852.25903
2026-06-01,3,,20630914017.47571,21059694320.152695,23525095396.137234
2026-07-01,3,,19516428858.08503,19964314239.54862,22301482151.82816
2026-08-01,3,,19966204235.273903,20391820468.220978,22779035370.74341
2026-09-01,3,,19757705566.823685,20322806660.237823,22701942304.159782
2026-10-01,3,,16385762474.861368,17833660025.20616,19921398049.62811
2026-11-01,3,,16324924613.961657,17886749953.412483,19980703071.18451
2026-12-01,3,,15901222733.18143,17675138723.238197,19744319090.43602
2012-07-01,6,13236516471.0,13355824895.944107,13326615621.063805,14733123784.91812
2012-08-01,6,13454126348.0,13462784588.7147,13456285771.249523,14876479489.63849
2012-09-01,6,13136362011.0,13172276070.26196,13188307362.266323,14580218294.485949
2012-10-01,6,13806343142.0,13768269033.950533,13604682239.55427,15040537912.192738
2012-11-01,6,12995830345.0,13067683798.26792,13035235579.278938,14410991118.52038
2012-12-01,6,12979986874.0,13070226010.320747,12978019613.858389,14347736506.47303
2013-01-01,6,13270087181.0,13219499138.44902,13052691553.035912,14430289418.21331
2013-02-01,6,12442104437.0,12430771199.98931,12395666540.087835,13703921139.814753
2013-03-01,6,13934248352.0,13963050192.08668,14042994413.464865,15525110117.040789
2013-04-01,6,13877522014.0,13480892804.538614,13601943191.96032,15037509781.990599
2013-05-01,6,14885665265.0,14407650189.449116,14273274266.09134,15779694001.68109
2013-06-01,6,14063161830.0,14103430006.733335,14084490044.396587,15570985250.265463
2013-07-01,6,14890811919.0,14951835373.716167,14855394222.669886,16423251647.658895
2013-08-01,6,14526726621.0,14537527401.258476,14480753838.035044,16009071234.671652
2013-09-01,6,15218483480.0,14854944904.709356,14606962363.263416,16148599970.081606
2013-10-01,6,15160724733.0,14952383261.24434,14700392632.89429,16251890990.61305
2013-11-01,6,13704923064.0,13722685856.162209,13706366177.58072,15152953703.904608
2013-12-01,6,13322370066.0,13325591411.861454,13245193374.666124,14643108129.846096
2014-01-01,6,12042272680.0,12228449616.721184,12167136965.73024,13451272260.064417
