month,link_id,lane_direction,from_node,to_node,mode,source,confidence,faf_state,faf_zone,border_state_1,border_state_2,faf_country,faf_stfips,faf_county_name,capacity,unit_cost,transit_days,reliability
2022-01,1001005,BA,FAF_LINK_1001005_B,FAF_LINK_1001005_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,0.964412,0.1696028253485025,1,0.0
2022-01,1001005,BA,FAF_LINK_1001005_B,FAF_LINK_1001005_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,0.00037514,0.23613770858879352,1,0.0
2022-01,1001006,AB,FAF_LINK_1001006_A,FAF_LINK_1001006_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,1.96262,0.20404816011250268,1,0.04461482736947442
2022-01,1001006,AB,FAF_LINK_1001006_A,FAF_LINK_1001006_B,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,0.120387,0.17255766818676435,1,0.0007397995108052724
2022-01,1001006,BA,FAF_LINK_1001006_B,FAF_LINK_1001006_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,0.0447799,0.19166255395836082,1,0.04461482736947442
2022-01,1001006,BA,FAF_LINK_1001006_B,FAF_LINK_1001006_A,truck,faf5_import_2022_observed,high,MN,279,MN,SD,USA,27,LAC QUI PARLE,4.45476e-05,0.22768678896281733,1,0.0007397995108052724
2022-01,1001985,AB,FAF_LINK_1001985_A,FAF_LINK_1001985_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,FARIBAULT,0.440271,0.17922461393096525,1,0.8549300068546485
2022-01,1001985,AB,FAF_LINK_1001985_A,FAF_LINK_1001985_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,FARIBAULT,0.0208879,0.15899061178960067,1,0.7429106959308303
2022-01,1001985,BA,FAF_LINK_1001985_B,FAF_LINK_1001985_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,FARIBAULT,0.589687,0.21117982929927234,1,0.8549300068546485
2022-01,1001985,BA,FAF_LINK_1001985_B,FAF_LINK_1001985_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,FARIBAULT,0.0353447,0.16220197087540708,1,0.7429106959308303
2022-01,1002287,AB,FAF_LINK_1002287_A,FAF_LINK_1002287_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,FREEBORN,227.861,0.1737269651234744,1,0.0
2022-01,1002287,AB,FAF_LINK_1002287_A,FAF_LINK_1002287_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,FREEBORN,1.99136,0.14382181022015106,1,0.0
2022-01,1003299,AB,FAF_LINK_1003299_A,FAF_LINK_1003299_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,2.51543,0.1789900732677912,1,0.12189330071038551
2022-01,1003299,AB,FAF_LINK_1003299_A,FAF_LINK_1003299_B,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,0.226979,0.17118147493821018,1,0.001273913910196156
2022-01,1003299,BA,FAF_LINK_1003299_B,FAF_LINK_1003299_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,0.163257,0.22443203047955065,1,0.12189330071038551
2022-01,1003299,BA,FAF_LINK_1003299_B,FAF_LINK_1003299_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,0.000144668,0.20920659717421958,1,0.001273913910196156
2022-01,1003301,AB,FAF_LINK_1003301_A,FAF_LINK_1003301_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,2.51543,0.1789900732677912,1,0.12189330071038551
2022-01,1003301,AB,FAF_LINK_1003301_A,FAF_LINK_1003301_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,0.226979,0.17118147493821018,1,0.001273913910196156
2022-01,1003301,BA,FAF_LINK_1003301_B,FAF_LINK_1003301_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,0.163257,0.22443203047955065,1,0.12189330071038551
2022-01,1003301,BA,FAF_LINK_1003301_B,FAF_LINK_1003301_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,0.000144668,0.20920659717421958,1,0.001273913910196156
2022-01,1003308,AB,FAF_LINK_1003308_A,FAF_LINK_1003308_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,0.0777043,0.19501237383259354,1,0.028116221686346865
2022-01,1003308,AB,FAF_LINK_1003308_A,FAF_LINK_1003308_B,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,0.00251964,0.15918464542553698,1,0.11124891660305014
2022-01,1003308,BA,FAF_LINK_1003308_B,FAF_LINK_1003308_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,5.44966,0.17800376537251866,1,0.028116221686346865
2022-01,1003308,BA,FAF_LINK_1003308_B,FAF_LINK_1003308_A,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,OSCEOLA,0.0427777,0.15426261813982517,1,0.11124891660305014
2022-01,1003309,AB,FAF_LINK_1003309_A,FAF_LINK_1003309_B,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,0.0777043,0.19501237383259354,1,0.028116221686346865
2022-01,1003309,AB,FAF_LINK_1003309_A,FAF_LINK_1003309_B,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,0.00251964,0.15918464542553698,1,0.11124891660305014
2022-01,1003309,BA,FAF_LINK_1003309_B,FAF_LINK_1003309_A,truck,faf5_domestic_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,5.44966,0.17800376537251866,1,0.028116221686346865
2022-01,1003309,BA,FAF_LINK_1003309_B,FAF_LINK_1003309_A,truck,faf5_import_2022_observed,high,MN,279,MN,IA,USA,27,NOBLES,0.0427777,0.15426261813982517,1,0.11124891660305014
2022-01,1003521,AB,FAF_LINK_1003521_A,FAF_LINK_1003521_B,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,1.83184,0.17622991090924972,1,0.6375409373923272
2022-01,1003521,AB,FAF_LINK_1003521_A,FAF_LINK_1003521_B,truck,faf5_import_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,0.0884481,0.1639142050535851,1,0.9985008054783819
2022-01,1003521,BA,FAF_LINK_1003521_B,FAF_LINK_1003521_A,truck,faf5_domestic_2022_observed,high,IA,190,MN,IA,USA,19,DICKINSON,3.91474,0.20932603442374206,1,0.6375409373923272
