event_key,discovery_provider,discovery_query,url,title,source,published_at
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPWkNzb3lTWjYyeGVyYkpoNWhTOE5kZkE0MG43NWs0QS02cUVGbVhLUUVvVWhNQ1pzWE1PMzhKTjduTzRLcml3RGtBSnhOZnZ5SnpXZjEwZDdUWl9qTC1mNTFoRWQwa21SdGtaWTYxYU1YWjRXdU5aRHFVZWRhajlzUnIxSEtHcTRuZHE0TkNqYmFpbWQwZHVjaE5QTnhHOVI5aElGSW9LaUc0WFNDVWozekx1cU4xVWV2aW5HaXVLOWptYU42amoxN2pCc3BXQW5T0gHWAUFVX3lxTE1KQ0g4S3dYbmlxRDZRdDlpb0VMSjFwcllyRVBkZ0xnZ2tMcHBFdUhtRDdVX0M0ajVQYTdZNDNfNU1jSlc2YzFLV1lUNlJJWEZKWmpOaFNHOTNJdWs3RkZwczV2dktTNEllZE53Yms4RHRSdDVBdkFoeTcxdVlsQmVqQm5Sd0dXMTRrOHBTYzV6YmgtUTNDY042RFo0Z08yOGdQYXQ1MlBFbHlROUZPNkotV2pBV3VUTWpFX0thVHZRLWd6ZlBLV0EzbVlsczhZeVBob2dQN2c?oc=5,Coronavirus: India must speed up plans to build local smartphone supply chain,ET Telecom,2020-03-27T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPUllVMXhXY2hEZ1VVUEtibHhsUTRLd2x5VXRMRXVscmNZTmNKYWpGMUpQN2xTYmItN3RLTEdqenB2RkhiQkJ0V2dkUEtETVgycENXTFY2cmFXWmlEdE5qcUxEeUN5dkd0R3VUQnhaWTBJMV9HNGk5QkJIcklIa1NrLXVwOVByYkljQ0l1aUgyb0NKVDRoSGhLemNObnNlNk45eXo2Vmk3cjRrbHZlMVJHUmE1bXA0VG93V2ctMzBMTlhlZlBSemJVWm1zRFpEZTZvV25mMmhRSllVMUxmc0dSVXJ4SmZsMkV5U3ljYkZVVVNmelcyaUE?oc=5,How the coronavirus crisis is affecting food supply,economictimes.com,2020-04-03T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNbVVxLWJQVUZ0d1MxSWdsQy1LR2xtLXdLdEF1eGtTaVNtRU1pdFV3bDlqQVoxd2ZCSmZWYmhWWUxoczFNZTl0VDFzY0QzOVZjVElBbVRCZzRMX0xjM2pVR0pCeE5Ha00yMG5yaW01YUFZcG5BdHYwekQxekNiZ0RWeDR4dkxJekw0alJDZDFPYm1uUHNaOXcyNWhaT3NGZW8tdFE2eHM5R3NnY1Rtc3FXSUFHX3pTSnBxZVBSZ3UwRGNwSVJnTDFaMHVOSWxsN19sSEg3dW9Uc2syTHBjUV83N21qbDhmSHpGUzhRdlhBNWNrSnA1?oc=5,"From perfume to hand sanitiser, TVs to face masks: how companies are changing track to fight COVID-19",weforum.org,2020-03-24T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBTd2R6Zzl5SzFiZFhYS2ROaUFMMGs1eW9CM3hheWhIdHk2cV9ycGd6UEpPZHpreHhkcGR6dHhDN19MTm41ZkZUYVRzc2hETUZJVzN2V0tYT2V6NXBocWxIWQ?oc=5,Lockdown: Who’s Who in Wuhan,EE Times,2020-02-07T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMinwFBVV95cUxON2xwcVhEZG1sUVNDYlF0TGZyaGVXLXJpeG5XbnNocDBpdmpPR3RvWTZMYW5IY0RGUkZlRkRFMjRDa2xxZGNDYXpGcVFESDYxUUpKbFZ2S1hUc0RNWmpRMWJuUURtczNjUU5uamNLSEh0X3hKcnI0aGtlai1VQnp5alVJb2ZmNzVzSnl1M1JZYWstLVN1RWNIUnlTcDJYWXM?oc=5,Foreign direct investment and global value chains in the wake of COVID-19,World Bank Blogs,2020-05-01T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMisgFBVV95cUxPZzlaSkpTVzBnSUtWYndVc0pXVXpUeWtKMjVRcGlRV1NnTlVBdURveHNFTkY3cHNOclhYMkVzZ09Zb19Yek5jX1BQQWRvS2c1aVBTX05ZZXRpSHF0MTVDbHdoRjJPQjhXR1llUGFrelVGX2FOZk1rYWF0M0U3Nkg0YmdFWmhnYVhqTk1FSVE0Qk8zWHI5NVlDMDdqRXdQN20xclpiVzd4MEpQUGFzNlVKT0xn0gHLAUFVX3lxTE9DbVZMS0hNdFlncF82XzBVQXRaS0VkQXVaSWswbmZEcFFBcWxLZDIyRWU0cEJQdk9CaWhrbWFydm9JZ2Y3ZURCUjFWaEhsY0tDVGZPLVdSdktLY2VKNlcwbzZqMUdLbmlVemJqc3VZcVdENml6TlVFZFlOOGdsZGhvem5zTHJVNEt5LXFwQjZfczVoUUNSOVpaYVhoZW5OQlNLczdMLWk2NVN0clFqVnl0SXNLVVZFRXZMMU93VFBMNGZ3anMtamJKNjJr?oc=5,"In Wuhan, a cautious return to work after coronavirus ebbs",The Christian Science Monitor,2020-03-11T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMipgFBVV95cUxPVW5aVVkyMk12Tk9HYjYtdk1MXzRXcjhEd1Q0cGRQOFFwTXk5WXZNTlZiampDMTA1M19KSWxSSXh3SmwwRlIwZ1pGajN2Q2pLblFsZ0w5R0dSOEVlSzhlR3VkV25YdFZ6TVp2UThqcVloVVZncGhNYmQzZE5XekRLRnhIS2o5UGJwVjJVZm9BYzJsQVBPaUxWcUVqT3NuWnowdkhuN0Z3?oc=5,Covid-19 triggers global manufacturing slowdown as output plunges,Global Trade Review (GTR),2020-04-15T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMihgFBVV95cUxQYlEwM3dyZUJkSnlKaGVzVFZaeEgtWTVHbmNURkk5anJyTFRDcDJHcm1iNW1yX2hja0NSZWU4dUhyS29KOHJxV183RWV5eGlYcDdPYjBCSjNtMzl6VTIwTGdLN3E0b2Q5aHRlUWpTNDVFQVRsVWRGcjRLZ2tGdDYxU3JOYVBLdw?oc=5,"Taiwan tech firms face a demand drop, not Covid-19",Asia Financial,2020-04-10T07:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiggFBVV95cUxOZ2VpV3JVS21YS3JEcm11angtV0swQmFKVUZJV1V3YUs3LUVzUmRCMGlsOG80Yjdtb3FkSTJMd2tJWFVIYklILVI2VnI2dU9fV3NoaHpZNGd5WUxweDV6cXo1MTlGcWV5ei1ZNGpqUGhPaDloUUN6ZzZPeG8yeXJMRldB?oc=5,Coronavirus Outbreak Deepens Its Toll on Global Business (Published 2020),The New York Times,2020-02-21T08:00:00+00:00
covid_q1_2020,google_news_rss,China coronavirus lockdown electronics supply chain after:2020-01-01 before:2020-05-01,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQUkNDREVTQ0hWU3hUcTJyQWVVekItaGVBMl9DNm5UUVlYRWhYcUZlREtaVGhCWHZYSzZ1cHp0dGJUUjRucFZ3VVFWQkFuSjhOTEVzTklzeVl4WnpZTUwwWmJHTlB0SnlINjNCbTZUOFFJVi1IeGl1TTE3cHVSYXR5UVE5MVA3ZlNEQWM0WkhVMmdWTm1lZDRnaVA5bW8xOG1RLTY1ZFd3OU5rYm9mcFFFTkRQUlhqcndBd3kyQThweWtTUQ?oc=5,"[Commentary] In the post-COVID world, health security must be a matter of national security",Mongabay India,2020-04-08T07:00:00+00:00
